Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,423551,,,,423551,,1477618,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,401436,,,,,,606994,,,2
H2,2003,2003,2003,4,0,1,Import,699,India,IND,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2800,,,,2800,,9369,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38772,,,,38772,,127784,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4757,,,,4757,,39229,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1646,,,,1646,,2294,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,30,,,4
H2,2003,2003,2003,4,0,2,Export,699,India,IND,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2270,,,,2270,,9159,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48834,,,,48834,,32867,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24920,,,,24920,,15098,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,700,,,,700,,2280,,,4
H2,2003,2003,2003,4,0,2,Export,699,India,IND,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,56400,,,,56400,,34050,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,97403,,,,97403,,540856,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33228,,,,,,124998,,,2
H2,2003,2003,2003,4,0,1,Import,699,India,IND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52047,,,,52047,,123179,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1250,,,,1250,,1396,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,1138,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,149,,,,149,,421,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,181,,,,181,,783,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,204,,,,204,,363,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10408,,,,10408,,60866,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1010,,,,1010,,2400,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8421,,,,8421,,13413,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48,,,,48,,155,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,254,,,,254,,2549,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,434,Libya,LBY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,151,,,,151,,489,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120,,,,120,,364,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,223,,,4
H2,2003,2003,2003,4,0,2,Export,699,India,IND,512,Oman,OMN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3500,,,,3500,,11227,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14768,,,,14768,,51535,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,437,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3000,,,,3000,,10338,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,566,Nigeria,NGA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4994,,,,4994,,25845,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,312,,,,312,,1294,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10156,,,,10156,,9116,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4651,,,,4651,,28579,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,424,,,,424,,406,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,705,Slovenia,SVN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,36,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17794,,,,17794,,50298,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12013,,,,12013,,34699,,,6
H2,2003,2003,2003,4,0,1,Import,699,India,IND,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,417,,,,417,,9767,,,4
H2,2003,2003,2003,4,0,2,Export,699,India,IND,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,106,,,,106,,352,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60,,,,60,,206,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1165,,,,1165,,10579,,,4
H2,2003,2003,2003,4,0,2,Export,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,49293,,,,49293,,108030,,,4
H2,2003,2003,2003,4,0,1,Import,699,India,IND,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29581,,,,29581,,147018,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,252285,,,,,,309496,,,2
H2,2003,2003,2003,4,0,1,Import,699,India,IND,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32540,,,,32540,,123563,,,6
H2,2003,2003,2003,4,0,2,Export,699,India,IND,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,602,,,,,,2244,,,2
H2,2003,2003,2003,4,0,1,Import,699,India,IND,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,934,,,,934,,3796,,,6
H2,2004,2004,2004,4,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,874173,,,,874173,,4038274,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,281020,,,,281020,,457594,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5064,,,,5064,,15814,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135081,,,,135081,,420234,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,348,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,75,,,,75,,305,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1512,,,,1512,,7775,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,12,,55,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10600,,,,10600,,12961,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1704,,,,1704,,6239,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10628,,,,10628,,11541,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,99751,,,,99751,,195520,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,86,,,,86,,835,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,37600,,,,37600,,26827,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,218,Ecuador,ECU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1000,,,,1000,,4817,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258595,,,,258595,,1686398,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5333,,,,5333,,10096,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,35596,,,,35596,,115909,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,89784,,,,89784,,114701,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11000,,,,11000,,13159,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,296,,,,296,,1446,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42,,,,42,,188,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1323,,,,1323,,3046,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,133,,,,133,,919,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81406,,,,81406,,625562,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2655,,,,2655,,22514,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,4726,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6045,,,,6045,,3550,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4500,,,,4500,,5475,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,462,Maldives,MDV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8536,,,,8536,,13385,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,962,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15080,,,,15080,,42901,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,512,Oman,OMN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4000,,,,4000,,7780,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,524,Nepal,NPL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14092,,,,14092,,12491,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,524,Nepal,NPL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,793,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12648,,,,12648,,86261,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,39,,,4
H2,2004,2004,2004,4,0,1,Import,699,India,IND,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4940,,,,4940,,51470,,,4
H2,2004,2004,2004,4,0,2,Export,699,India,IND,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2820,,,,2820,,3811,,,4
