Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1070992,,,,1070992,,757376,,,2
H1,2000,2000,2000,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17259,,,,17259,,17636,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,482058,,,,482058,,334648,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18947,,,,18947,,14080,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16496,,,,16496,,3435,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,246,,,,246,,5280,,,2
H1,2000,2000,2000,4,0,2,Export,360,Indonesia,IDN,231,Ethiopia,ETH,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,638,,,,638,,387,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,111851,,,,111851,,27728,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21352,,,,21352,,69741,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,644,,,,644,,5085,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,418,,,,418,,69,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1381,,,,1381,,312,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,60416,,,,60416,,7529,,,2
H1,2000,2000,2000,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,400,,,,400,,1476,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27519,,,,27519,,5500,,,2
H1,2000,2000,2000,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13016,,,,13016,,13050,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,433,,,,433,,71,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1798,,,,1798,,522,,,2
H1,2000,2000,2000,4,0,2,Export,360,Indonesia,IDN,586,Pakistan,PAK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3205,,,,3205,,2723,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,678,Sao Tome and Principe,STP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,697,,,,697,,2089,,,2
H1,2000,2000,2000,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,249042,,,,249042,,136182,,,2
