Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4690944,,,,,,12102000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3055813,,,,,,7609000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21416,,,,,,56000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,277551,,,,,,720000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44296,,,,,,112000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16222,,,,,,42000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2278,,,,,,2000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,43044,,,,,,111000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,113456,,,,,,284000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36230,,,,,,36000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,173962,,,,,,454000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1139,,,,,,1000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2211,,,,,,6000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,161528,,,,,,336000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,655628,,,,,,1700000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11973,,,,,,31000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,256,,,,,,1000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3075,,,,3075,,8000,,,4
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27170,,,,,,85000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3417,,,,,,3000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,45771,,,,45771,,74000,,,4
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,961554,,,,,,2522000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,164167,,,,,,539000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42871,,,,,,111000,,,2
H2,2002,2002,2002,4,0,1,Import,376,Israel,ISR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32363,,,,,,86000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,246151,,,,,,449000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1139,,,,,,1000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,292,Gibraltar,GIB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3417,,,,,,3000,,,2
H2,2002,2002,2002,4,0,2,Export,376,Israel,ISR,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1946,,,,1946,,7000,,,6
