Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107535211,,,,114342020,,203986142,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1579403046,,,,1665567337,,2631752438,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,156,,,,117,,1031,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,609160,,,,667882,,650328,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1554421,,,,1508358,,763138,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1675,,,,1690,,7744,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7227976,,,,7190408,,1579034,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21754,,,,25173,,128252,,,0
H2,2002,2002,2002,4,0,2,Export,381,Italy,ITA,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,43741,,,,50811,,127893,,,0
H2,2002,2002,2002,4,0,1,Import,381,Italy,ITA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,150970,,,,158843,,366141,,,0
