Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,174010167,,,,174010167,,805704180,,,6
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,328334,,,,328334,,2253847,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,450,,1791,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10495774,,,,10495774,,12532231,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5168772,,,,5168772,,17950527,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1007,,,,1007,,9597,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,105230,,,,105230,,731672,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77,,,,77,,1631,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7396,,,,7396,,227461,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,5534,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,184030,,,,184030,,175572,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,630,,,,630,,3567,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3242686,,,,3242686,,2795335,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100170,,,,100170,,893556,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1980,,,,1980,,20913,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11668112,,,,11668112,,30114288,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,64895,,,,64895,,215492,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9351,,,,9351,,18258,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4644,,,,4644,,7555,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13311,,,,13311,,30917,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1839,,,,1839,,23658,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,230,,,,230,,4293,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,156,,,,156,,3542,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,68813502,,,,68813502,,490773449,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15509,,,,15509,,135506,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38029,,,,38029,,148157,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9251822,,,,9251822,,30311871,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1773,,,,1773,,34244,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,106430,,,,106430,,507705,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5803,,,,5803,,96103,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,808569,,,,808569,,1571661,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1580,,,,1580,,17714,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40579,,,,40579,,267628,,,4
H2,2002,2002,2002,4,0,1,Import,392,Japan,JPN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33336799,,,,33336799,,117552675,,,4
H2,2002,2002,2002,4,0,2,Export,392,Japan,JPN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,747,,,,747,,10340,,,4
