Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,131391,,,,131391,,346221,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,67940,,,,67940,,178323,,,4
H2,2002,2002,2002,4,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12058,,,,12058,,70631,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,282,,,4
H2,2002,2002,2002,4,0,3,Re-Export,400,Jordan,JOR,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,282,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,800,,,,800,,2432,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,66811,,,,66811,,147617,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,275,State of Palestine,PSE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36707,,,,36707,,126621,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1527,,,,1527,,5446,,,4
H2,2002,2002,2002,4,0,3,Re-Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1527,,,,1527,,5446,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11550,,,,11550,,8869,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10875,,,,10875,,19968,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4872,,,,4872,,23234,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4410,,,,4410,,8364,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2509,,,,2509,,6374,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3450,,,,3450,,9512,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4137,,,,4137,,10174,,,4
H2,2002,2002,2002,4,0,2,Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51341,,,,51341,,154215,,,4
H2,2002,2002,2002,4,0,3,Re-Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10459,,,,10459,,64903,,,4
H2,2002,2002,2002,4,0,1,Import,400,Jordan,JOR,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,1439,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,177707,,,,177707,,464493,,,4
H2,2003,2003,2003,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,59437,,,,59437,,150118,,,4
H2,2003,2003,2003,4,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25357,,,,25357,,78550,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3483,,,,3483,,9189,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1989,,,,1989,,4402,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,761,,,,761,,3769,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,70133,,,,70133,,164882,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,275,State of Palestine,PSE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52155,,,,52155,,174924,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3669,,,,3669,,3183,,,4
H2,2003,2003,2003,4,0,2,Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,383,,,,383,,3949,,,4
H2,2003,2003,2003,4,0,3,Re-Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,383,,,,383,,3949,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24589,,,,24589,,54317,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2142,,,,2142,,8179,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1043,,,,1043,,4980,,,4
H2,2003,2003,2003,4,0,2,Export,400,Jordan,JOR,634,Qatar,QAT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10422,,,,10422,,21128,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12448,,,,12448,,21585,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4721,,,,4721,,13339,,,4
H2,2003,2003,2003,4,0,2,Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48632,,,,48632,,125041,,,4
H2,2003,2003,2003,4,0,3,Re-Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24974,,,,24974,,74601,,,4
H2,2003,2003,2003,4,0,1,Import,400,Jordan,JOR,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,575,,,,575,,1743,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,186000,,,,186000,,447156,,,4
H2,2004,2004,2004,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54140,,,,54140,,160297,,,4
H2,2004,2004,2004,4,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30015,,,,30015,,95735,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4327,,,,4327,,8491,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1634,,,,1634,,3449,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24758,,,,24758,,58985,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2496,,,,2496,,8670,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42170,,,,42170,,107054,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,275,State of Palestine,PSE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53312,,,,53312,,145691,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,801,,,,801,,2059,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21159,,,,21159,,38766,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2195,,,,2195,,10594,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3029,,,,3029,,3797,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13794,,,,13794,,25574,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15894,,,,15894,,32574,,,4
H2,2004,2004,2004,4,0,2,Export,400,Jordan,JOR,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,657,,,,657,,5546,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,382,,,4
H2,2004,2004,2004,4,0,2,Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53483,,,,53483,,154751,,,4
H2,2004,2004,2004,4,0,3,Re-Export,400,Jordan,JOR,838,Free Zones,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30015,,,,30015,,95735,,,4
H2,2004,2004,2004,4,0,1,Import,400,Jordan,JOR,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,342,,,,342,,1071,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,184206,,,,184206,,612685,,,4
H1,2000,2000,2000,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35649,,,,35649,,138442,,,4
H1,2000,2000,2000,4,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35649,,,,35649,,138442,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1059,,,,1059,,3403,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,159,,,,159,,724,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4080,,,,4080,,13553,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,253,,,,253,,715,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,612,,,,612,,3722,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,47618,,,,47618,,119184,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,275,State of Palestine,PSE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,97156,,,,97156,,375061,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,686,,,,686,,1344,,,4
H1,2000,2000,2000,4,0,2,Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,23183,,,,23183,,81664,,,4
H1,2000,2000,2000,4,0,3,Re-Export,400,Jordan,JOR,368,Iraq,IRQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,23183,,,,23183,,81664,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,108,,,,108,,182,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13788,,,,13788,,22519,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5070,,,,5070,,19563,,,4
H1,2000,2000,2000,4,0,2,Export,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,248,,,,248,,1083,,,4
H1,2000,2000,2000,4,0,3,Re-Export,400,Jordan,JOR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,248,,,,248,,1083,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,206,,,,206,,762,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,568,"Other Europe, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,631,,,,631,,3208,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4696,,,,4696,,14598,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,18,,51,,,4
H1,2000,2000,2000,4,0,1,Import,400,Jordan,JOR,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,441,,,,441,,2609,,,4
