Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,436013627,,,,8966693,,13826907,,,0
H2,2004,2004,2004,4,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4253373,,,,657834,,490103,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8856,,,,9093,,33879,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,585036,,,,813,,3346,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,99,,,,14,,1203,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1020846,,,,11156,,52624,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1047990,,,,24116,,58620,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20977071,,,,452687,,2188763,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5943089,,,,1051408,,2594997,,,0
H2,2004,2004,2004,4,0,1,Import,398,Kazakhstan,KAZ,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,294867,,,,13219,,59844,,,0
