Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3118812,,,,3118812,,4538260,,,4
H2,2002,2002,2002,4,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,273398,,,,273398,,262622,,,4
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,423,,,,423,,841,,,4
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13417,,,,13417,,46585,,,4
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11347,,,,11347,,32190,,,4
H2,2002,2002,2002,4,0,2,Export,404,Kenya,KEN,108,Burundi,BDI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2023,,,,2023,,2326,,,4
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41123,,,,41123,,116133,,,4
H2,2002,2002,2002,4,0,1,Import,404,Kenya,KEN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11460,,,,11460,,14994,,,4
H2,2002,2002,2002,4,0,2,Export,404,Kenya,KEN,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,420,,,,420,,450,,,4
H2,2002,2002,2002,4,0,2,Export,404,Kenya,KEN,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29013,,,,29013,,27569,,,4
