Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,4,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1252,,,,1252,,3318,,,4
H1,2004,2004,2004,4,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1162,,,,1162,,2838,,,4
H1,2004,2004,2004,4,0,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,90,,,,90,,480,,,4
H2,2005,2005,2005,4,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2932,,,,2932,,13781,,,4
H2,2005,2005,2005,4,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2740,,,,2740,,12297,,,4
H2,2005,2005,2005,4,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30,,,,30,,19,,,4
H2,2005,2005,2005,4,0,1,Import,296,Kiribati,KIR,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,730,,,4
H2,2005,2005,2005,4,0,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,734,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6351,,,,6351,,25589,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5807,,,,5807,,22761,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26,,,,26,,139,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,142,,,,142,,562,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,11,,,4
H2,2006,2006,2006,4,0,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,374,,,,374,,2115,,,4
H2,2007,2007,2007,4,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2544,,,,2544,,26273,,,4
H2,2007,2007,2007,4,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2307,,,,2307,,23115,,,4
H2,2007,2007,2007,4,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,92,,,,92,,789,,,4
H2,2007,2007,2007,4,0,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,1679,,,4
