Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17283152,,,,17283152,,17089459,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2788952,,,,2788952,,1909601,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,10,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50256,,,,50256,,44107,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,49559,,,,49559,,114826,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10383,,,,10383,,19737,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15483,,,,15483,,36590,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,11,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5263081,,,,5263081,,4646109,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,23,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,290628,,,,290628,,343580,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,164678,,,,164678,,265147,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,150,,,,150,,36,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3984,,,,3984,,9806,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55748,,,,55748,,82839,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1021,,,,1021,,1386,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25592,,,,25592,,62118,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,960138,,,,960138,,599894,,,2
H2,2002,2002,2002,4,0,2,Export,428,Latvia,LVA,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,14,,,2
H2,2002,2002,2002,4,0,1,Import,428,Latvia,LVA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1128880,,,,1128880,,2562968,,,2
