Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,967920,,,,967920,,3391147,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1321619,,,,1321619,,7678118,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,248,,,,248,,2855,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3214,,,,3214,,15198,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,890,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1449,,,,1449,,5683,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1269,,,,1269,,5471,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20717,,,,20717,,18328,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,144,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12612,,,,12612,,63017,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,907,,,,907,,13001,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,108753,,,,108753,,63460,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7426,,,,7426,,4917,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23844,,,,23844,,132648,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12183,,,,12183,,33699,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1630,,,,1630,,13110,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,315,,,,315,,876,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1908,,,,1908,,14507,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,58,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40914,,,,40914,,135407,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,486719,,,,486719,,2819756,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,438940,,,,438940,,1615437,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,266,Gabon,GAB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,180,,,,180,,974,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,137,,,,137,,414,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61532,,,,61532,,221190,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,887,,,,887,,3015,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9099,,,,9099,,38967,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,324,Guinea,GIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1359,,,,1359,,1990,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,250,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,500,,,,500,,60,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23953,,,,23953,,189308,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24380,,,,24380,,117185,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2263,,,,2263,,15223,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3897,,,,3897,,18100,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9047,,,,9047,,64268,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,400,Jordan,JOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8951,,,,8951,,32948,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,404,Kenya,KEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,314,,,,314,,1506,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,428,Latvia,LVA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,387,,,,387,,1520,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,430,Liberia,LBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5563,,,,5563,,14619,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,442,Luxembourg,LUX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54,,,,54,,132,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,442,Luxembourg,LUX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60,,,,60,,265,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30,,,,30,,73,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,252,,,,252,,1047,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9672,,,,9672,,7354,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7631,,,,7631,,32274,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,105,,,,105,,910,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,55,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,566,Nigeria,NGA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,759,,,,759,,2852,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,579,Norway,NOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8892,,,,8892,,37332,,,2
H2,2002,2002,2002,4,0,1,Import,422,Lebanon,LBN,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11107,,,,11107,,38940,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,342,,,,342,,2653,,,2
H2,2002,2002,2002,4,0,2,Export,422,Lebanon,LBN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,174,,,,174,,749,,,2
