Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,890792,,,,,,1082925,,,2
H0,2000,2000,2000,4,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,890792,,,,,,1082925,,,2
H0,2001,2001,2001,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1683701,,,,,,2106541,,,2
H0,2001,2001,2001,4,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,7871,,,,,,11074,,,2
H0,2001,2001,2001,4,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1683701,,,,,,2106541,,,2
H0,2001,2001,2001,4,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,6301,,,,,,5541,,,2
H0,2001,2001,2001,4,0,2,Export,426,Lesotho,LSO,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1570,,,,,,5532,,,2
H0,2002,2002,2002,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,753684,,,,,,831770,,,2
H0,2002,2002,2002,4,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,753684,,,,,,831770,,,2
H0,2003,2003,2003,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,801134,,,,,,3195150,,,2
H0,2003,2003,2003,4,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,24,,,,,,110,,,2
H0,2003,2003,2003,4,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,801134,,,,,,3195150,,,2
H0,2003,2003,2003,4,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,24,,,,,,110,,,2
H0,2004,2004,2004,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,624686,,,,,,2498499,,,2
H0,2004,2004,2004,4,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,825,,,,,,2657,,,2
H0,2004,2004,2004,4,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,624686,,,,,,2498499,,,2
