Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,367187,,,,277698,,455192,,,0
H2,2002,2002,2002,4,0,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3402,,,,3402,,41064,,,2
H2,2002,2002,2002,4,0,3,Re-Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3275,,,,3275,,40408,,,2
H2,2002,2002,2002,4,0,1,Import,450,Madagascar,MDG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,892,,,,860,,845,,,0
H2,2002,2002,2002,4,0,2,Export,450,Madagascar,MDG,174,Comoros,COM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,114,,,,114,,167,,,2
H2,2002,2002,2002,4,0,1,Import,450,Madagascar,MDG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,175600,,,,166293,,366741,,,0
H2,2002,2002,2002,4,0,2,Export,450,Madagascar,MDG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3279,,,,3279,,40852,,,2
H2,2002,2002,2002,4,0,3,Re-Export,450,Madagascar,MDG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3266,,,,3266,,40363,,,2
H2,2002,2002,2002,4,0,1,Import,450,Madagascar,MDG,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3625,,,,4775,,8115,,,0
H2,2002,2002,2002,4,0,1,Import,450,Madagascar,MDG,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120,,,,360,,296,,,0
