Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,163821,,,,163821,,514765,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,100,,756,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6541,,,,6541,,14063,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,325,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22,,,,22,,45,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30,,,,30,,48,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,139572,,,,139572,,430461,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,716,Zimbabwe,ZWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5283,,,,5283,,19561,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12179,,,,12179,,49439,,,4
H2,2003,2003,2003,4,0,1,Import,454,Malawi,MWI,894,Zambia,ZMB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22,,,,22,,66,,,4
H2,2004,2004,2004,4,0,1,Import,454,Malawi,MWI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,244558,,,,244558,,686427,,,4
H2,2004,2004,2004,4,0,2,Export,454,Malawi,MWI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10230,,,,10230,,5048,,,4
H2,2004,2004,2004,4,0,1,Import,454,Malawi,MWI,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,144,,,,144,,40,,,4
H2,2004,2004,2004,4,0,1,Import,454,Malawi,MWI,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,515,,,,515,,15408,,,4
H2,2004,2004,2004,4,0,2,Export,454,Malawi,MWI,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,160,,,,160,,321,,,4
