Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2993838999,,,,2993838999,,13277875,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3986776,,,,3986776,,2376561,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10662,,,,10662,,82867,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,474,,,,474,,5607,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2987991754,,,,2987991754,,4606949,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3201,,,,3201,,73667,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,724,,,,724,,5219,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52,,,,52,,464,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,24,,265,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12375,,,,12375,,496225,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,76,,,,76,,718,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36,,,,36,,332,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,96,Brunei Darussalam,BRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19627,,,,19627,,96544,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4200,,,,4200,,7493,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,7,,39,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,503,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,20,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,805,,,,805,,44268,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,484,,,,484,,3579,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,29,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,91309,,,,91309,,446677,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3215,,,,3215,,9302,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,49220,,,,49220,,202806,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1376,,,,1376,,40914,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14,,,,14,,150,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1348,,,,1348,,5586,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,44,,442,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,242,Fiji,FJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,85,,,,85,,21520,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,8,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,814770,,,,814770,,3421986,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,167,,,,167,,1257,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38374,,,,38374,,178041,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,296,,,,296,,5065,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,57,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,33,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,336,Holy See (Vatican City State),VAT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,7,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17977,,,,17977,,16104,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2397,,,,2397,,48737,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5400,,,,5400,,9174,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6793,,,,6793,,86522,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,168,,,,168,,2036,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,64,,,,64,,738,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,68448,,,,68448,,371732,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,98,,,,98,,597,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6613,,,,6613,,28439,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4586,,,,4586,,32209,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,398,Kazakhstan,KAZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,7,,32,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,404,Kenya,KEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,40,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8700,,,,8700,,14960,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,121,,,,121,,1599,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,428,Latvia,LVA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,53,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,440,Lithuania,LTU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,7,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,227,,,,227,,3918,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,54,,,4
H2,2002,2002,2002,4,0,1,Import,458,Malaysia,MYS,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,277,,,,277,,53806,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7368,,,,7368,,54356,,,4
H2,2002,2002,2002,4,0,2,Export,458,Malaysia,MYS,512,Oman,OMN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,30,,,4
