Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,466099,,,,466099,,804036,,,6
H2,2004,2004,2004,4,0,2,Export,466,Mali,MLI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,324,,,,324,,5309,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2529,,,,2529,,3894,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62,,,,62,,785,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1100,,,,1100,,4580,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,404788,,,,404788,,713347,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,485,,,,485,,1129,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,686,Senegal,SEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25993,,,,25993,,58967,,,6
H2,2004,2004,2004,4,0,2,Export,466,Mali,MLI,686,Senegal,SEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,324,,,,324,,5309,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26782,,,,26782,,15757,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,768,Togo,TGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1100,,,,1100,,1645,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2821,,,,2821,,2432,,,6
H2,2004,2004,2004,4,0,1,Import,466,Mali,MLI,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,439,,,,439,,1498,,,6
H1,2000,2000,2000,4,0,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,66818,,,,135051,,159488,,,2
H1,2000,2000,2000,4,0,1,Import,466,Mali,MLI,12,Algeria,DZA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,440,,,,216,,454,,,2
H1,2000,2000,2000,4,0,1,Import,466,Mali,MLI,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,330,,,,1239,,418,,,2
H1,2000,2000,2000,4,0,1,Import,466,Mali,MLI,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3842,,,,22668,,9172,,,2
H1,2000,2000,2000,4,0,1,Import,466,Mali,MLI,686,Senegal,SEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62207,,,,110928,,149444,,,2
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,381713,,,,381713,,277287,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,12,Algeria,DZA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,238,,,,238,,1212,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1368,,,,1368,,844,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,282,,,,282,,2364,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,210387,,,,210387,,197424,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,504,Morocco,MAR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2400,,,,2400,,1609,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,686,Senegal,SEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1496,,,,1496,,1481,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1381,,,,1381,,2017,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,161864,,,,161864,,62057,,,6
H1,2001,2001,2001,4,0,1,Import,466,Mali,MLI,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2297,,,,2297,,8279,,,6
H1,2002,2002,2002,4,0,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,218483,,,,218483,,206862,,,6
H1,2002,2002,2002,4,0,1,Import,466,Mali,MLI,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,712,,,,712,,2581,,,6
H1,2002,2002,2002,4,0,1,Import,466,Mali,MLI,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,471,,,,471,,3286,,,6
