Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14751,,,,14751,,168501,,,6
H1,2000,2000,2000,4,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14751,,,,14751,,168501,,,6
H1,2001,2001,2001,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16436,,,,16436,,115798,,,6
H1,2001,2001,2001,4,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14636,,,,14636,,115434,,,6
H1,2001,2001,2001,4,0,1,Import,478,Mauritania,MRT,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1800,,,,1800,,365,,,6
H1,2002,2002,2002,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1765,,,,1765,,8379,,,6
H1,2002,2002,2002,4,0,1,Import,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1765,,,,1765,,8379,,,6
H1,2003,2003,2003,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2314,,,,2314,,11845,,,6
H1,2003,2003,2003,4,0,1,Import,478,Mauritania,MRT,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2314,,,,2314,,11845,,,6
H1,2004,2004,2004,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1586,,,,1586,,6720,,,2
H1,2004,2004,2004,4,0,1,Import,478,Mauritania,MRT,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1586,,,,1586,,6720,,,2
H1,2006,2006,2006,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35576,,,,35576,,55372,,,2
H1,2006,2006,2006,4,0,1,Import,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1500,,,,1500,,11698,,,2
H1,2006,2006,2006,4,0,1,Import,478,Mauritania,MRT,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,900,,,,900,,4842,,,2
H1,2006,2006,2006,4,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,32796,,,,32796,,35347,,,2
H1,2006,2006,2006,4,0,1,Import,478,Mauritania,MRT,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,380,,,,380,,3484,,,2
H1,2007,2007,2007,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3291,,,,3291,,31042,,,2
H1,2007,2007,2007,4,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3211,,,,3211,,17426,,,2
H1,2007,2007,2007,4,0,1,Import,478,Mauritania,MRT,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,80,,,,80,,13616,,,2
H1,2008,2008,2008,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,78101,,,,78101,,339999,,,2
H1,2008,2008,2008,4,0,1,Import,478,Mauritania,MRT,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1386,,,,1386,,3147,,,2
H1,2008,2008,2008,4,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,76205,,,,76205,,335538,,,2
H1,2008,2008,2008,4,0,1,Import,478,Mauritania,MRT,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,440,,,,440,,1132,,,2
H1,2008,2008,2008,4,0,1,Import,478,Mauritania,MRT,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,70,,,,70,,183,,,2
H1,2009,2009,2009,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18639,,,,18639,,63185,,,2
H1,2009,2009,2009,4,0,1,Import,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18374,,,,18374,,62396,,,2
H1,2009,2009,2009,4,0,1,Import,478,Mauritania,MRT,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,265,,,,265,,789,,,2
H3,2011,2011,2011,4,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,7429,,,,7429,,19035,,,2
H3,2011,2011,2011,4,0,1,Import,478,Mauritania,MRT,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,949,,,,949,,5280,,,2
H3,2011,2011,2011,4,0,1,Import,478,Mauritania,MRT,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,6480,,,,6480,,13755,,,2
