Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1131131,,,,1131131,,1162767,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,480,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,264200,,,,264200,,627551,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,102,,,,102,,411,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,450,Madagascar,MDG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,123,,,,123,,200,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,187,,,,187,,452,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65,,,,65,,902,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,421,,,,421,,1472,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,56274,,,,56274,,25456,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,809408,,,,809408,,504748,,,2
H2,2002,2002,2002,4,0,1,Import,175,Mayotte,MYT,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,261,,,,261,,1094,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,935212,,,,935212,,1331939,,,2
H2,2003,2003,2003,4,0,2,Export,175,Mayotte,MYT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,89,,,,89,,744,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,387,,,,387,,1187,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,205,,,,205,,471,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51,,,,51,,447,,,2
H2,2003,2003,2003,4,0,2,Export,175,Mayotte,MYT,174,Comoros,COM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,89,,,,89,,744,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,268016,,,,268016,,812221,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,1126,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,890,,,,890,,1976,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2230,,,,2230,,3628,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1855,,,,1855,,3669,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258,,,,258,,842,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1010,,,,1010,,3110,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,237,,,,237,,1284,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20362,,,,20362,,35712,,,2
H2,2003,2003,2003,4,0,1,Import,175,Mayotte,MYT,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,635758,,,,635758,,455871,,,2
