Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,617250,,,,617250,,556647,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120700,,,,120700,,63687,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101227,,,,101227,,53652,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,270,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1272,,,,1272,,6117,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,97391,,,,97391,,221832,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,115712,,,,115712,,92377,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3128,,,,3128,,2340,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,177165,,,,177165,,115180,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17,,,,17,,57,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,67,,,,67,,241,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,111,,,,111,,778,,,2
H2,2003,2003,2003,4,0,1,Import,496,Mongolia,MNG,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,190,,,,190,,116,,,2
H2,2004,2004,2004,4,0,1,Import,496,Mongolia,MNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,904077,,,,904077,,1282125,,,0
H2,2004,2004,2004,4,0,2,Export,496,Mongolia,MNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60,,,,60,,91,,,0
H2,2004,2004,2004,4,0,1,Import,496,Mongolia,MNG,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,63,,,,63,,854,,,0
H2,2004,2004,2004,4,0,1,Import,496,Mongolia,MNG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,35280,,,,35280,,29988,,,0
