Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2122,,,,2122,,13953,,,2
H2,2004,2004,2004,4,0,2,Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,243,,,,243,,630,,,2
H2,2004,2004,2004,4,0,3,Re-Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,243,,,,243,,630,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,857,,,,857,,6618,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,666,,,,666,,4105,,,2
H2,2004,2004,2004,4,0,2,Export,500,Montserrat,MSR,530,Neth. Antilles,ANT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,243,,,,243,,630,,,2
H2,2004,2004,2004,4,0,3,Re-Export,500,Montserrat,MSR,530,Neth. Antilles,ANT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,243,,,,243,,630,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,27,,479,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,385,,,,385,,2081,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54,,,,54,,63,,,2
H2,2004,2004,2004,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,133,,,,133,,608,,,2
H0,2000,2000,2000,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1618,,,,1618,,5154,,,2
H0,2000,2000,2000,4,0,1,Import,500,Montserrat,MSR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,676,,,,676,,2329,,,2
H0,2000,2000,2000,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,942,,,,942,,2826,,,2
H0,2001,2001,2001,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,87,,,,87,,262,,,2
H0,2001,2001,2001,4,0,1,Import,500,Montserrat,MSR,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,41,,,,41,,100,,,2
H0,2001,2001,2001,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,46,,,,46,,162,,,2
H0,2002,2002,2002,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,975,,,,975,,8048,,,2
H0,2002,2002,2002,4,0,1,Import,500,Montserrat,MSR,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,396,,,,396,,5654,,,2
H0,2002,2002,2002,4,0,1,Import,500,Montserrat,MSR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,504,,,,504,,2003,,,2
H0,2002,2002,2002,4,0,1,Import,500,Montserrat,MSR,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,20,,,,20,,57,,,2
H0,2002,2002,2002,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,55,,,,55,,333,,,2
H0,2003,2003,2003,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,352,,,,352,,1471,,,2
H0,2003,2003,2003,4,0,2,Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14,,,,14,,87,,,2
H0,2003,2003,2003,4,0,3,Re-Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14,,,,14,,87,,,2
H0,2003,2003,2003,4,0,2,Export,500,Montserrat,MSR,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14,,,,14,,87,,,2
H0,2003,2003,2003,4,0,3,Re-Export,500,Montserrat,MSR,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14,,,,14,,87,,,2
H0,2003,2003,2003,4,0,1,Import,500,Montserrat,MSR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,90,,,,90,,129,,,2
H0,2003,2003,2003,4,0,1,Import,500,Montserrat,MSR,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,9,,,,9,,376,,,2
H0,2003,2003,2003,4,0,1,Import,500,Montserrat,MSR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,18,,,,18,,141,,,2
H0,2003,2003,2003,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,235,,,,235,,826,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6646,,,,6646,,34519,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,98,,,,98,,143,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,83,,,,83,,467,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,106,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4208,,,,4208,,21894,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14,,,,14,,156,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,509,,,,509,,3759,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,308,Grenada,GRD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,2,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,140,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,131,,,,131,,214,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,272,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,220,,,,220,,777,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,327,,,,327,,482,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,37,,,,37,,1440,,,2
H2,2005,2005,2005,4,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,950,,,,950,,4667,,,2
H2,2006,2006,2006,4,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7322,,,,7322,,44488,,,2
H2,2006,2006,2006,4,0,1,Import,500,Montserrat,MSR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,173,,,,173,,2671,,,2
