Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,968302,,,,,,1284127,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,206715,,,,,,645596,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,223,,,,,,579,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1982,,,,,,5881,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,566,,,,,,1486,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13010,,,,,,12189,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,632,,,,,,2467,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,508,,,,,,1315,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,292,Gibraltar,GIB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2635,,,,,,6822,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,336,Holy See (Vatican City State),VAT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1698,,,,,,1555,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,336,Holy See (Vatican City State),VAT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3215,,,,,,4070,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,876,,,,,,3419,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1210,,,,,,3132,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,362944,,,,,,619397,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61616,,,,,,127023,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,716,Zimbabwe,ZWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,,,413,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,501235,,,,,,489515,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,818,Egypt,EGY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21993,,,,,,20148,,,2
H2,2002,2002,2002,4,0,1,Import,508,Mozambique,MOZ,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,214,,,,,,554,,,2
H2,2002,2002,2002,4,0,2,Export,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200010,,,,,,629759,,,2
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2404124,,,,662449,,1993894,,,4
H2,2003,2003,2003,4,0,2,Export,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18358,,,,7603,,43631,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1434,,,,1434,,1363,,,4
H2,2003,2003,2003,4,0,2,Export,508,Mozambique,MOZ,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,610,,,,610,,6595,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28680,,,,28680,,40261,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20,,,,20,,1524,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44538,,,,9960,,29983,,,4
H2,2003,2003,2003,4,0,2,Export,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,648,,,,648,,620,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4,,,,4,,136,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,2585,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,600,Paraguay,PRY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21000,,,,21000,,11224,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2047925,,,,412798,,1571771,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,92185,,,,20204,,236336,,,4
H2,2003,2003,2003,4,0,2,Export,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3600,,,,3600,,7676,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,167652,,,,167652,,95745,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,748,Eswatini,SWZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,153,,,4
H2,2003,2003,2003,4,0,1,Import,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,658,,,,670,,2813,,,4
H2,2003,2003,2003,4,0,2,Export,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13500,,,,2745,,28740,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3716307,,,,3463222,,2595779,,,4
H2,2004,2004,2004,4,0,2,Export,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4605,,,,3627,,33121,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10446,,,,2069,,14300,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,843,,,,660,,1861,,,4
H2,2004,2004,2004,4,0,2,Export,508,Mozambique,MOZ,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,940,,,,940,,2283,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32400,,,,6758,,50387,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15835,,,,166,,15147,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,454,Malawi,MWI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,32,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2795583,,,,3140242,,2006482,,,4
H2,2004,2004,2004,4,0,2,Export,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,140,,405,,,0
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,677918,,,,84040,,387326,,,4
H2,2004,2004,2004,4,0,2,Export,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135,,,,150,,476,,,0
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,183259,,,,229262,,120185,,,4
H2,2004,2004,2004,4,0,1,Import,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23,,,,23,,58,,,4
H2,2004,2004,2004,4,0,2,Export,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3440,,,,2397,,29957,,,4
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1011052,,,,,,1411027,,,2
H1,2001,2001,2001,4,0,2,Export,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8715,,,,,,21961,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,48,,,,,,152,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,56,,,,,,139,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12918,,,,,,24710,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4238,,,,,,5907,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,394868,,,,,,720465,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,66179,,,,,,122292,,,2
H1,2001,2001,2001,4,0,2,Export,508,Mozambique,MOZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1379,,,,,,4498,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,345,,,,,,852,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,490383,,,,,,483523,,,2
H1,2001,2001,2001,4,0,1,Import,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,42018,,,,,,52987,,,2
H1,2001,2001,2001,4,0,2,Export,508,Mozambique,MOZ,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7336,,,,,,17463,,,2
H0,2000,2000,2000,4,0,1,Import,508,Mozambique,MOZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1698896,,,,,,3033822,,,2
