Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6411,,,,6411,,45888,,,4
H1,2001,2001,2001,4,0,1,Import,104,Myanmar,MMR,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4350,,,,4350,,26608,,,4
H1,2001,2001,2001,4,0,1,Import,104,Myanmar,MMR,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2061,,,,2061,,19280,,,4
H4,2012,2012,2012,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,60329,,,,69369,,181114,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,758926,,,,852440,,1074387,,,6
H4,2012,2012,2012,4,0,1,Import,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,7185,,,,9153,,32466,,,6
H4,2012,2012,2012,4,0,1,Import,104,Myanmar,MMR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,32610,,,,34023,,45048,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,12435,,,,13967,,17604,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,105666,,,,118686,,149588,,,6
H4,2012,2012,2012,4,0,1,Import,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2002,,,,2561,,12266,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,31939,,,,35875,,45216,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,302962,,,,340292,,428893,,,6
H4,2012,2012,2012,4,0,2,Export,104,Myanmar,MMR,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,39562,,,,44437,,56006,,,6
