Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15213261,,,,,,22566672,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1011930,,,,,,3141504,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11970,,,,,,37503,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4,,,,,,14,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,884387,,,,,,2827393,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,480,,,,,,1238,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5159,,,,,,22335,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,195,,,,,,533,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2302,,,,,,8938,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,522,,,,,,2277,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,383,,,,,,1233,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46,,,,,,148,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,88,,,,,,103,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28,,,,,,92,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,,,51,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,440,Lithuania,LTU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38,,,,,,123,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,,,6,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,520,Nauru,NRU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,,,2,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,579,Norway,NOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57,,,,,,183,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51,,,,,,165,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44113,,,,,,121949,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17,,,,,,78,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1043,,,,,,3362,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25,,,,,,79,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,,,39,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15142068,,,,,,22352626,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,117001,,,,,,274942,,,2
H2,2004,2004,2004,4,0,2,Export,516,Namibia,NAM,716,Zimbabwe,ZWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,478,,,,,,2168,,,2
H2,2004,2004,2004,4,0,1,Import,516,Namibia,NAM,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2162,,,,,,8732,,,2
