Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,378445,,,,378445,,1133941,,,0
H2,2003,2003,2003,4,0,2,Export,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10937,,,,10937,,5460,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51413,,,,51413,,50052,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,175365,,,,175365,,419851,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,83712,,,,83712,,250827,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16718,,,,16718,,50105,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,188,,,,188,,564,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,335,,,,335,,1011,,,0
H2,2003,2003,2003,4,0,2,Export,524,Nepal,NPL,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10937,,,,10937,,5460,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14062,,,,14062,,42170,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6500,,,,6500,,135615,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1562,,,,1562,,123831,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28371,,,,28371,,59260,,,0
H2,2003,2003,2003,4,0,1,Import,524,Nepal,NPL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,219,,,,219,,655,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,647645,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,58348,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,155114,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,12940,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,2112,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,32993,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,48842,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,12641,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,307442,,,0
H1,2000,2000,2000,4,0,1,Import,524,Nepal,NPL,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,17213,,,0
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,550742,,,,550742,,1012401,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,267172,,,,267172,,450691,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,194,,,,194,,857,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,24765,,,,24765,,83574,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,74168,,,,74168,,128262,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,12,,,,12,,249,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,364,Iran,IRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,240,,,,240,,2320,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,31975,,,,31975,,53203,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,65,,,,65,,1458,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1260,,,,1260,,16247,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,11975,,,,11975,,28531,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,8304,,,,8304,,32004,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,118595,,,,118595,,132132,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9603,,,,9603,,78670,,,4
H3,2009,2009,2009,4,0,1,Import,524,Nepal,NPL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2414,,,,2414,,4202,,,4
H4,2013,2013,2013,4,0,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,766209,,,,766209,,2515221,,,4
H4,2013,2013,2013,4,0,2,Export,524,Nepal,NPL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1539,,,,1539,,8176,,,4
H4,2013,2013,2013,4,0,1,Import,524,Nepal,NPL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,765,,,,765,,2341,,,4
H4,2013,2013,2013,4,0,1,Import,524,Nepal,NPL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,251435,,,,251435,,773549,,,4
H4,2013,2013,2013,4,0,1,Import,524,Nepal,NPL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,41760,,,,41760,,216605,,,4
H4,2013,2013,2013,4,0,1,Import,524,Nepal,NPL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,137582,,,,137582,,688036,,,4
