Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1771820,,,,1771820,,3949939,,,2
H2,2005,2005,2005,4,0,2,Export,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,238,,,,238,,2112,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,24,,302,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,115,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34494,,,,34494,,42147,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2394,,,,2394,,16837,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,765,,,,765,,2321,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,222,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,339040,,,,339040,,747961,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,863,,,,863,,1361,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1449,,,,1449,,4079,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,19,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,109957,,,,109957,,477427,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,607,,,,607,,1879,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,328,Guyana,GUY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27828,,,,27828,,10680,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,12,,292,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50478,,,,50478,,134850,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,171,,,,171,,1087,,,2
H2,2005,2005,2005,4,0,1,Import,530,Neth. Antilles,ANT,516,Namibia,NAM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,200,,,2
