Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,285035507,,,,285035507,,577777595,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11471751,,,,11471751,,61051585,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,265,,,,265,,3779,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2298,,,,2298,,35902,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,657,,,,657,,5669,,,4
H2,2002,2002,2002,4,0,1,Import,528,Netherlands,NLD,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3626689,,,,3626689,,7117400,,,4
H2,2002,2002,2002,4,0,1,Import,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9663856,,,,9663856,,24966142,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,361,,,,361,,1890,,,4
H2,2002,2002,2002,4,0,1,Import,528,Netherlands,NLD,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,111040,,,,111040,,1369275,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107447,,,,107447,,323119,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,990,,,,990,,43460,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23,,,,23,,945,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54,,,,54,,8503,,,4
H2,2002,2002,2002,4,0,1,Import,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9288351,,,,9288351,,24554415,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3218198,,,,3218198,,12491109,,,4
H2,2002,2002,2002,4,0,2,Export,528,Netherlands,NLD,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,279,,,,279,,3779,,,4
