Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5601268,,,,5601268,,14604285,,,6
H2,2003,2003,2003,4,0,2,Export,540,New Caledonia,NCL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4023,,,,4023,,8372,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1000,,,,1000,,3038,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1200,,,,1200,,3414,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,152100,,,,152100,,302642,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,47,,,,47,,103,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51600,,,,51600,,98150,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2700,,,,2700,,2558,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3646908,,,,3646908,,12578074,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,28,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,489,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14400,,,,14400,,57676,,,2
H2,2003,2003,2003,4,0,2,Export,540,New Caledonia,NCL,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1000,,,,1000,,3977,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4800,,,,4800,,16761,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,548,Vanuatu,VUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,1862,,,2
H2,2003,2003,2003,4,0,2,Export,540,New Caledonia,NCL,548,Vanuatu,VUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2700,,,,2700,,3740,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6400,,,,6400,,23712,,,2
H2,2003,2003,2003,4,0,2,Export,540,New Caledonia,NCL,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,123,,,,123,,256,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20218,,,,20218,,63677,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,2380,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1690900,,,,1690900,,1410374,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,700,,,,700,,5794,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,788,Tunisia,TUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,630,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,792,Turkey,TUR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,100,,1129,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3864,,,,3864,,22668,,,6
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1481,,,,1481,,4110,,,6
H2,2003,2003,2003,4,0,2,Export,540,New Caledonia,NCL,876,Wallis and Futuna Isds,WLF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,200,,,,200,,399,,,2
H2,2003,2003,2003,4,0,1,Import,540,New Caledonia,NCL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1536,,,,1536,,5013,,,6
H2,2004,2004,2004,4,0,1,Import,540,New Caledonia,NCL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6680892,,,,6680892,,17589406,,,6
H2,2004,2004,2004,4,0,2,Export,540,New Caledonia,NCL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,760,,,,700,,2384,,,2
H2,2004,2004,2004,4,0,1,Import,540,New Caledonia,NCL,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,647,,,2
H2,2004,2004,2004,4,0,1,Import,540,New Caledonia,NCL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,3414,,,2
H2,2004,2004,2004,4,0,1,Import,540,New Caledonia,NCL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,215500,,,,215500,,409670,,,2
