Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54325531,,,,54346716,,74015706,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46597408,,,,46670570,,127061967,,,2
H2,2002,2002,2002,4,0,3,Re-Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,184179,,,,206750,,668738,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,40,,214,,,0
H2,2002,2002,2002,4,0,3,Re-Export,554,New Zealand,NZL,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,40,,214,,,0
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258068,,,,258068,,231439,,,2
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,37977165,,,,37978658,,53544730,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7908424,,,,7912367,,23095989,,,2
H2,2002,2002,2002,4,0,3,Re-Export,554,New Zealand,NZL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,64836,,,,68328,,215247,,,2
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4263,,,,4523,,12036,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,153,,,,320,,1654,,,0
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10500,,,,10500,,31557,,,2
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1371,,,,2681,,11744,,,0
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,349644,,,,351006,,1797378,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24362,,,,25166,,83913,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29294,,,,30468,,131797,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,90,Solomon Isds,SLB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2485,,,,2773,,7166,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,92,Br. Virgin Isds,VGB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,2696,,6590,,,0
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,62,,277,,,0
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,249,,,,249,,5267,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1389396,,,,1389396,,3863547,,,2
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3822259,,,,3822251,,1870868,,,2
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,8012,,5464,,,0
H2,2002,2002,2002,4,0,1,Import,554,New Zealand,NZL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,246,,,,1132,,4764,,,0
H2,2002,2002,2002,4,0,2,Export,554,New Zealand,NZL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27396,,,,27550,,87683,,,2
H2,2002,2002,2002,4,0,3,Re-Export,554,New Zealand,NZL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48,,,,130,,386,,,0
