Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,515035,,,,515035,,877476,,,2
H2,2002,2002,2002,4,0,2,Export,558,Nicaragua,NIC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,497,,,,497,,1309,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10238,,,,10238,,22666,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,115,,,,115,,168,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,207732,,,,207732,,324728,,,2
H2,2002,2002,2002,4,0,2,Export,558,Nicaragua,NIC,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,497,,,,497,,1309,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,749,,,,749,,4027,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72634,,,,72634,,175711,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10815,,,,10815,,17794,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14069,,,,14069,,10852,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,73118,,,,73118,,63961,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,35,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,774,,,,774,,1804,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1395,,,,1395,,1908,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57,,,,57,,168,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,420,,,,420,,962,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,86192,,,,86192,,183115,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1870,,,,1870,,8852,,,2
H2,2002,2002,2002,4,0,1,Import,558,Nicaragua,NIC,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34848,,,,34848,,60725,,,2
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,663396,,,,663396,,1083341,,,6
H2,2003,2003,2003,4,0,2,Export,558,Nicaragua,NIC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,100,,230,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17259,,,,17259,,32541,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,285423,,,,285423,,452800,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15,,,,15,,622,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94699,,,,94699,,198297,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1986,,,,1986,,6390,,,6
H2,2003,2003,2003,4,0,1,Import,558,Nicaragua,NIC,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19933,,,,19933,,14718,,,6
