Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,772904,,,,772904,,462500,,,2
H2,2002,2002,2002,4,0,2,Export,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1900,,,,1900,,5014,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,260,,,,260,,458,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,204,Benin,BEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,104,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,85674,,,,85674,,167909,,,2
H2,2002,2002,2002,4,0,2,Export,562,Niger,NER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1900,,,,1900,,5014,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2248,,,,2248,,3447,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,180,,,,180,,818,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,683649,,,,683649,,288077,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,168,,,,168,,633,,,2
H2,2002,2002,2002,4,0,1,Import,562,Niger,NER,854,Burkina Faso,BFA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,715,,,,715,,1054,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,417978,,,,417978,,383250,,,2
H2,2003,2003,2003,4,0,2,Export,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7930,,,,7930,,24297,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,260,,,,260,,416,,,2
H2,2003,2003,2003,4,0,2,Export,562,Niger,NER,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2494,,,,2494,,7390,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,204,Benin,BEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,99,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81625,,,,81625,,183539,,,2
H2,2003,2003,2003,4,0,2,Export,562,Niger,NER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,413,,,,413,,1965,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,6,,,2
H2,2003,2003,2003,4,0,2,Export,562,Niger,NER,434,Libya,LBY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3377,,,,3377,,9904,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,427,,,,427,,1083,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,334156,,,,334156,,186200,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,768,Togo,TGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,17,,,2
H2,2003,2003,2003,4,0,1,Import,562,Niger,NER,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1409,,,,1409,,11891,,,2
H2,2003,2003,2003,4,0,2,Export,562,Niger,NER,854,Burkina Faso,BFA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1646,,,,1646,,5038,,,2
H2,2004,2004,2004,4,0,1,Import,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,674961,,,,674961,,558329,,,2
H2,2004,2004,2004,4,0,2,Export,562,Niger,NER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7502,,,,7502,,40067,,,2
H2,2004,2004,2004,4,0,1,Import,562,Niger,NER,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,260,,,,260,,451,,,2
H2,2004,2004,2004,4,0,1,Import,562,Niger,NER,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62,,,,62,,132,,,2
