Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,116837,,,,116837,,201237,,,2
H2,2002,2002,2002,4,0,2,Export,512,Oman,OMN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1090,,,,1090,,1821,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41642,,,,41642,,39651,,,2
H2,2002,2002,2002,4,0,2,Export,512,Oman,OMN,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1090,,,,1090,,1821,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1150,,,,1150,,2036,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15644,,,,15644,,101097,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,12,,36,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1113,,,,1113,,2900,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34,,,,34,,224,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,970,,,,970,,629,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15922,,,,15922,,11644,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20810,,,,20810,,20109,,,2
H2,2002,2002,2002,4,0,1,Import,512,Oman,OMN,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19540,,,,19540,,22910,,,2
H2,2004,2004,2004,4,0,1,Import,512,Oman,OMN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,43803,,,,43803,,48687,,,2
H2,2004,2004,2004,4,0,1,Import,512,Oman,OMN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42059,,,,42059,,44757,,,2
H2,2004,2004,2004,4,0,1,Import,512,Oman,OMN,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1435,,,,1435,,3620,,,2
H2,2004,2004,2004,4,0,1,Import,512,Oman,OMN,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,21,,,2
H2,2004,2004,2004,4,0,1,Import,512,Oman,OMN,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,299,,,,299,,289,,,2
H1,2000,2000,2000,4,0,1,Import,512,Oman,OMN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,96665,,,,96665,,152606,,,2
H1,2000,2000,2000,4,0,1,Import,512,Oman,OMN,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,57265,,,,57265,,64156,,,2
H1,2000,2000,2000,4,0,1,Import,512,Oman,OMN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5065,,,,5065,,27795,,,2
