Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20444,,,,20444,,135845,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5742,,,,5742,,34222,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,762,,,,762,,3328,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3390,,,,3390,,25369,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,369,,,,369,,3541,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3000,,,,3000,,21427,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,636,,,,636,,4158,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,168,,,4
H2,2003,2003,2003,4,0,1,Import,586,Pakistan,PAK,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6505,,,,6505,,43630,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,47882,,,,47882,,272829,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5700,,,,5700,,40493,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2000,,,,2000,,14789,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,217,,,,217,,2412,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10852,,,,10852,,62858,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,247,,,,247,,1589,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,368,Iraq,IRQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13961,,,,13961,,67150,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3405,,,,3405,,14609,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,500,,,,500,,2837,,,4
H2,2004,2004,2004,4,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11000,,,,11000,,66091,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,105541,,,,105541,,675699,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2111,,,,2111,,15306,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,311,,,,311,,2067,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2126,,,,2126,,15244,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1100,,,,1100,,8354,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4500,,,,4500,,31271,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,179,,,,179,,1361,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,71699,,,,71699,,465138,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,788,Tunisia,TUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,15,,,,15,,107,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,147,,,,147,,951,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9732,,,,9732,,48331,,,4
H3,2008,2008,2008,4,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,13621,,,,13621,,87570,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,158448,,,,158448,,1127259,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,885,,,,885,,8985,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,270,,,,270,,1986,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1429,,,,1429,,9774,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,7118,,,,7118,,48430,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,600,,,,600,,3724,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,756,,,,756,,3960,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,210,,,,210,,1496,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,46,,,,46,,302,,,4
H3,2009,2009,2009,4,0,1,Import,586,Pakistan,PAK,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,120336,,,,120336,,854953,,,4
