Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2154902,,,,2154902,,6402501,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8652,,,,8652,,19543,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2910,,,,2910,,6557,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,377,,,,377,,1864,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21402,,,,21402,,49526,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61646,,,,61646,,121466,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9450,,,,9450,,11376,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4309,,,,4309,,30817,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,800,,,,800,,1612,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1441,,,,1441,,10761,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2643,,,,2643,,7877,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4008,,,,4008,,10315,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,183,,,,183,,303,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4300,,,,4300,,7277,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1080,,,,1080,,3056,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25243,,,,25243,,79057,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26,,,,26,,239,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77,,,,77,,238,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,837,Bunkers,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1225725,,,,1225725,,3670149,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,71203,,,,71203,,208542,,,2
H2,2003,2003,2003,4,0,1,Import,591,Panama,PAN,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,709427,,,,709427,,2161926,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2382224,,,,2382224,,7492026,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20951,,,,20951,,47092,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1651,,,,1651,,5024,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,886,,,,886,,1868,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22941,,,,22941,,58840,,,2
H2,2004,2004,2004,4,0,1,Import,591,Panama,PAN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,115135,,,,115135,,183524,,,2
