Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55663,,,,55663,,1043488,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53823,,,,53823,,1001420,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,7,,5,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,7,,144,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,288,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,597,,,,597,,606,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32,,,,32,,1650,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,394,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1074,,,,1074,,33485,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,459,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,660,Anguilla,AIA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,273,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,1142,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57,,,,57,,3409,,,4
H2,2002,2002,2002,4,0,1,Import,598,Papua New Guinea,PNG,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17,,,,17,,214,,,4
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,69154,,,,69154,,1450525,,,2
H2,2003,2003,2003,4,0,2,Export,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11,,,,11,,15,,,2
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65892,,,,65892,,1311519,,,2
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1187,,,,1187,,16015,,,2
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,1870,,,2
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1854,,,,1854,,114622,,,2
H2,2003,2003,2003,4,0,1,Import,598,Papua New Guinea,PNG,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,51,,,,51,,4038,,,2
