Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,40153919,,,,40153919,,25520076,,,2
H3,2007,2007,2007,4,0,2,Export,600,Paraguay,PRY,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,24857,,,,24857,,90765,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,34984266,,,,34984266,,18306501,,,2
H3,2007,2007,2007,4,0,2,Export,600,Paraguay,PRY,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,24857,,,,24857,,90765,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,885329,,,,885329,,455659,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3520967,,,,3520967,,4785017,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,116079,,,,116079,,681679,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,29941,,,,29941,,44373,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,229885,,,,229885,,589321,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,100173,,,,100173,,272708,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4604,,,,4604,,7559,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,239892,,,,239892,,336240,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,12000,,,,12000,,18624,,,2
H3,2007,2007,2007,4,0,1,Import,600,Paraguay,PRY,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,30784,,,,30784,,22396,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,38075181,,,,38075181,,32544269,,,2
H3,2008,2008,2008,4,0,2,Export,600,Paraguay,PRY,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,300,,,,300,,2000,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,32588293,,,,32588293,,22672605,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1837132,,,,1837132,,1224842,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2804391,,,,2804391,,5735111,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,91519,,,,91519,,980921,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,71629,,,,71629,,124348,,,2
H3,2008,2008,2008,4,0,2,Export,600,Paraguay,PRY,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,300,,,,300,,2000,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,402723,,,,402723,,1096914,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,116425,,,,116425,,299695,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2503,,,,2503,,7017,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,154365,,,,154365,,378290,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4872,,,,4872,,2896,,,2
H3,2008,2008,2008,4,0,1,Import,600,Paraguay,PRY,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1329,,,,1329,,21630,,,2
H3,2009,2009,2009,4,0,1,Import,600,Paraguay,PRY,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,35595090,,,,35595090,,33110576,,,2
H3,2009,2009,2009,4,0,1,Import,600,Paraguay,PRY,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,31585915,,,,31585915,,23544907,,,2
H3,2009,2009,2009,4,0,1,Import,600,Paraguay,PRY,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,167641,,,,167641,,136358,,,2
