Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4045126,,,,6461529,,10136746,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39334,,,,65653,,136667,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,694450,,,,1253348,,1740403,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3039,,,,1918,,4645,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1739052,,,,3243015,,4316551,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3662,,,,758,,3613,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,144,,,,231,,892,,,0
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,252,,,,420,,833,,,0
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55,,,,55,,201,,,0
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,222,El Salvador,SLV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135,,,,135,,495,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,232,Eritrea,ERI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2498,,,,1713,,6468,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,148617,,,,300761,,453802,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3600,,,,5640,,16856,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,126622,,,,217730,,333488,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,31,,35,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6598,,,,9527,,20548,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,249883,,,,318278,,713317,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1800,,,,3000,,7684,,,0
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,384,,,,384,,751,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,898,,,,360,,2326,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,162,,,,252,,956,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,624,,,,95,,1381,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,296,,,,112,,767,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,824894,,,,737195,,2123828,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,748,Eswatini,SWZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4847,,,,7284,,12550,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1809,,,,990,,4685,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,16,,61,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1321,,,,438,,3421,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,175368,,,,293081,,333212,,,2
H2,2002,2002,2002,4,0,2,Export,604,Peru,PER,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32760,,,,55490,,107903,,,0
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,56953,,,,68900,,52177,,,2
H2,2002,2002,2002,4,0,1,Import,604,Peru,PER,862,Venezuela,VEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3694,,,,6026,,9564,,,2
H2,2003,2003,2003,4,0,1,Import,604,Peru,PER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3755128,,,,6079297,,10673696,,,2
H2,2003,2003,2003,4,0,2,Export,604,Peru,PER,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36302,,,,49484,,134162,,,0
H2,2003,2003,2003,4,0,1,Import,604,Peru,PER,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,845744,,,,1536880,,2362736,,,2
H2,2003,2003,2003,4,0,2,Export,604,Peru,PER,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,73,,,,73,,367,,,0
