Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5460932,,,,5460932,,10976571,,,2
H1,2000,2000,2000,4,0,2,Export,608,Philippines,PHL,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,70833,,,,16990,,166437,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,44172,,,,44172,,102242,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,330384,,,,330384,,556660,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3400,,,,3400,,10243,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,43500,,,,43500,,21537,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,43676,,,,43676,,156685,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,406851,,,,406851,,2609078,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18674,,,,18674,,15118,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2808,,,,2808,,132304,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,246,Finland,FIN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15555,,,,15555,,7795,,,2
H1,2000,2000,2000,4,0,1,Import,608,Philippines,PHL,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1061674,,,,1061674,,1798285,,,2
