Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53945203,,,,53945203,,55753000,,,2
H2,2002,2002,2002,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,157908,,,,157908,,320000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,49914,,,,49914,,114000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,221048,,,,221048,,638000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,261043,,,,261043,,130000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15160890,,,,15160890,,10692000,,,2
H2,2002,2002,2002,4,0,2,Export,616,Poland,POL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15390,,,,15390,,62000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,681686,,,,681686,,1648000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2685300,,,,2685300,,597000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9099480,,,,9099480,,14924000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2506797,,,,2506797,,2744000,,,2
H2,2002,2002,2002,4,0,1,Import,616,Poland,POL,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,389345,,,,389345,,535000,,,2
