Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,130461894,,,,130461894,,111093073,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,337413308,,,,337413308,,904712818,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,6750,,,,6750,,17130,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,231795,,,,231795,,818464,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,90,,,,90,,1558,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,68345167,,,,68345167,,111048819,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1675,,,,1675,,7684,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,460,,,,460,,5273,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,42344,,,,42344,,178441,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1230,,,,1230,,17513,,,2
