Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,343,,,,343,,1587,,,0
H1,2000,2000,2000,4,0,1,Import,634,Qatar,QAT,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,343,,,,343,,1587,,,0
H1,2001,2001,2001,4,0,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2062,,,,2062,,11537,,,0
H1,2001,2001,2001,4,0,1,Import,634,Qatar,QAT,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1125,,,,1125,,6635,,,0
H1,2001,2001,2001,4,0,1,Import,634,Qatar,QAT,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,937,,,,937,,4902,,,0
H1,2002,2002,2002,4,0,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,39525,,,,39525,,1717,,,0
H1,2002,2002,2002,4,0,1,Import,634,Qatar,QAT,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,26785,,,,26785,,1002,,,0
H1,2002,2002,2002,4,0,1,Import,634,Qatar,QAT,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12740,,,,12740,,715,,,0
H1,2003,2003,2003,4,0,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,450555,,,0
H1,2003,2003,2003,4,0,1,Import,634,Qatar,QAT,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,5860,,,0
