Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,688,Serbia,SRB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,30444457,,,,30444457,,38071430,,,2
H3,2007,2007,2007,4,0,2,Export,688,Serbia,SRB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9784487,,,,9784487,,11984355,,,2
H3,2007,2007,2007,4,0,1,Import,688,Serbia,SRB,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4551,,,,4551,,4978,,,2
H3,2007,2007,2007,4,0,2,Export,688,Serbia,SRB,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,21846,,,,21846,,33692,,,2
H3,2007,2007,2007,4,0,1,Import,688,Serbia,SRB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,33150,,,,33150,,127548,,,2
H3,2007,2007,2007,4,0,1,Import,688,Serbia,SRB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,17853,,,,17853,,86474,,,2
H3,2007,2007,2007,4,0,2,Export,688,Serbia,SRB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4049,,,,4049,,11663,,,2
H3,2007,2007,2007,4,0,1,Import,688,Serbia,SRB,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9361,,,,9361,,35965,,,2
H3,2007,2007,2007,4,0,2,Export,688,Serbia,SRB,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,32641,,,,32641,,36977,,,2
H3,2007,2007,2007,4,0,2,Export,688,Serbia,SRB,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,10065,,,,10065,,23290,,,2
