Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3764355,,,,3764355,,2471198,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,249623,,,,249623,,1838690,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9344,,,,9344,,81776,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13713,,,,13713,,99970,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2101,,,,2101,,16086,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,215,,,,215,,3330,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,58343,,,,58343,,336562,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55,,,,55,,689,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2372,,,,2372,,16840,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1396,,,,1396,,9585,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,108,Burundi,BDI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,312,,,,312,,3916,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,418766,,,,418766,,221966,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1901,,,,1901,,14068,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,140,Central African Rep.,CAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9351,,,,9351,,83695,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,981,,,,981,,225,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3823,,,,3823,,27670,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,338,,,,338,,176,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6677,,,,6677,,52161,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1489,,,,1489,,9314,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,204,Benin,BEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2224,,,,2224,,16275,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1782,,,,1782,,13788,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,449304,,,,449304,,672861,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29245,,,,29245,,273459,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,262,Djibouti,DJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3693,,,,3693,,21603,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,266,Gabon,GAB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,493341,,,,493341,,489198,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,266,Gabon,GAB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4161,,,,4161,,30479,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1003,,,,1003,,6556,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8368,,,,8368,,63357,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,506,,,,506,,4370,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1653,,,,1653,,12506,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4134,,,,4134,,13169,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10699,,,,10699,,85869,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4834,,,,4834,,33733,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,430,Liberia,LBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1044,,,,1044,,8354,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,434,Libya,LBY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4727,,,,4727,,35004,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,466,Mali,MLI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1000,,,,1000,,7335,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,103,,,,103,,1096,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,566,Nigeria,NGA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1745,,,,1745,,18610,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,243206,,,,243206,,110597,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17249,,,,17249,,135772,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,646,Rwanda,RWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,533,,,,533,,3258,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,686,Senegal,SEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2920,,,,2920,,23605,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,32,,,,32,,97,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11710,,,,11710,,86012,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,716,Zimbabwe,ZWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,494,,,,494,,3016,,,2
H2,2007,2007,2007,4,0,1,Import,178,Congo,COG,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2153034,,,,2153034,,953023,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20555,,,,20555,,141658,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,855,,,,855,,7013,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,818,Egypt,EGY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2018,,,,2018,,14293,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1319,,,,1319,,9202,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,837,Bunkers,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,756,,,,756,,6434,,,2
H2,2007,2007,2007,4,0,2,Export,178,Congo,COG,854,Burkina Faso,BFA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4555,,,,4555,,30259,,,2
H2,2008,2008,2008,4,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4995473,,,,4995473,,4038250,,,2
H2,2008,2008,2008,4,0,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,520157,,,,520157,,3787310,,,2
H2,2008,2008,2008,4,0,2,Export,178,Congo,COG,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5772,,,,5772,,36605,,,2
H2,2008,2008,2008,4,0,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14633,,,,14633,,16226,,,2
H2,2008,2008,2008,4,0,2,Export,178,Congo,COG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16523,,,,16523,,127066,,,2
H2,2008,2008,2008,4,0,2,Export,178,Congo,COG,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,577,,,,577,,4774,,,2
H2,2008,2008,2008,4,0,2,Export,178,Congo,COG,108,Burundi,BDI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,416,,,,416,,2130,,,2
H2,2008,2008,2008,4,0,1,Import,178,Congo,COG,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,721707,,,,721707,,182096,,,2
