Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,772517,,,,772517,,1755000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50498968,,,,50498968,,23042000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11000,,,,11000,,22000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15000,,,,15000,,23000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,59140,,,,59140,,67000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,425,,,,425,,1000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94437,,,,94437,,144000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,579000,,,,579000,,117000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,313000,,,,313000,,230000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,148,Chad,TCD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6000,,,,6000,,13000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11000,,,,11000,,11000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3520437,,,,3520437,,895000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,702000,,,,702000,,734000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9812,,,,9812,,19000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,423000,,,,423000,,613000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,274000,,,,274000,,283000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,149703,,,,149703,,660000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,299484,,,,299484,,191000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,68707,,,,68707,,166000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15236000,,,,15236000,,7476000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,59000,,,,59000,,38000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,425,,,,425,,1000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,828,,,,828,,1000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,352,Iceland,ISL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1687,,,,1687,,2000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107000,,,,107000,,136000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,883000,,,,883000,,792000,,,0
H2,2002,2002,2002,4,0,1,Import,642,Romania,ROU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,203136,,,,203136,,530000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2329625,,,,2329625,,401000,,,0
H2,2002,2002,2002,4,0,2,Export,642,Romania,ROU,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,280000,,,,280000,,370000,,,0
