Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,149501,,,,149501,,330560,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19866,,,,19866,,44980,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88,,,,88,,256,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7702,,,,7702,,10731,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1931,,,,1931,,13256,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,59547,,,,59547,,125769,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4272,,,,4272,,9515,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,95,,,,95,,1383,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18015,,,,18015,,32110,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,26845,,,,26845,,57528,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,500,,,,500,,3356,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,784,United Arab Emirates,ARE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8600,,,,8600,,28811,,,2
H1,2001,2001,2001,4,0,1,Import,646,Rwanda,RWA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2040,,,,2040,,2866,,,2
H1,2002,2002,2002,4,0,1,Import,646,Rwanda,RWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,160921,,,,160921,,329458,,,2
H1,2002,2002,2002,4,0,2,Export,646,Rwanda,RWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,248,,,,248,,816,,,2
H1,2002,2002,2002,4,0,3,Re-Export,646,Rwanda,RWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,248,,,,248,,816,,,2
