Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,177469,,,,186535,,664070,,,0
H1,2000,2000,2000,4,0,2,Export,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9708,,,,9727,,31273,,,0
H1,2000,2000,2000,4,0,3,Re-Export,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9695,,,,9712,,31134,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,278,,,,278,,847,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,67,,,,67,,386,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,739,,,,739,,4268,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19,,,,48,,90,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1156,,,,1085,,5903,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,832,,,,832,,2973,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,246,Finland,FIN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,45,,,,45,,131,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27260,,,,28161,,140410,,,0
H1,2000,2000,2000,4,0,2,Export,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3285,,,,3285,,13363,,,0
H1,2000,2000,2000,4,0,3,Re-Export,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3285,,,,3285,,13363,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1641,,,,2306,,6512,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,450,,,,450,,600,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1724,,,,1724,,6705,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,388,Jamaica,JAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25174,,,,33545,,67240,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1800,,,,1818,,4498,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,400,Jordan,JOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,225,,,,227,,631,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,144,,,,84,,84,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2135,,,,2513,,13254,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,533,Aruba,ABW,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,45,,,,45,,239,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,225,,,,225,,1380,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,662,Saint Lucia,LCA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1800,,,,4360,,4912,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,2,,11,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1603,,,,1602,,8411,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,477,,,,477,,2241,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,437,,,,437,,1016,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1629,,,,2113,,12437,,,0
H1,2000,2000,2000,4,0,1,Import,659,Saint Kitts and Nevis,KNA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,107562,,,,103352,,378890,,,0
H1,2000,2000,2000,4,0,2,Export,659,Saint Kitts and Nevis,KNA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6423,,,,6442,,17910,,,0
H1,2000,2000,2000,4,0,3,Re-Export,659,Saint Kitts and Nevis,KNA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6410,,,,6427,,17770,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,128190,,,,137673,,476858,,,0
H1,2001,2001,2001,4,0,2,Export,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5108,,,,4981,,19057,,,0
H1,2001,2001,2001,4,0,3,Re-Export,659,Saint Kitts and Nevis,KNA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5101,,,,4974,,19024,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,189,,,,221,,1048,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1396,,,,1667,,7843,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,90,,,,90,,2101,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,92,Br. Virgin Isds,VGB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,197,,,,1369,,2031,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1989,,,,78,,9547,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10496,,,,10496,,35666,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27,,,,27,,111,,,0
H1,2001,2001,2001,4,0,1,Import,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18326,,,,17749,,92621,,,0
H1,2001,2001,2001,4,0,2,Export,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3214,,,,3225,,10347,,,0
H1,2001,2001,2001,4,0,3,Re-Export,659,Saint Kitts and Nevis,KNA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3214,,,,3225,,10347,,,0
