Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12270,,,,12270,,45400,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1298,,,,1298,,13569,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,493,,,,493,,6088,,,0
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7812,,,,7812,,23501,,,0
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,242,Fiji,FJI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1125,,,,1125,,6055,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,140,,,,140,,1072,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,70,,,,70,,536,,,0
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2780,,,,2780,,13671,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,382,,,,382,,1498,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,191,,,,191,,749,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,210,,,,210,,3228,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,105,,,,105,,1614,,,0
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,544,,,,544,,2097,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,124,,,,124,,6965,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62,,,,62,,2958,,,0
H1,2001,2001,2001,4,0,1,Import,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,76,,,0
H1,2001,2001,2001,4,0,2,Export,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,442,,,,442,,806,,,0
H1,2001,2001,2001,4,0,3,Re-Export,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,65,,,,65,,231,,,0
H1,2002,2002,2002,4,0,1,Import,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,23070,,,,23070,,102230,,,4
H1,2002,2002,2002,4,0,2,Export,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,800,,,,800,,11126,,,4
H1,2002,2002,2002,4,0,3,Re-Export,882,Samoa,WSM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,161,,,,161,,3209,,,4
H1,2002,2002,2002,4,0,2,Export,882,Samoa,WSM,16,American Samoa,ASM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,694,,,,694,,6147,,,4
H1,2002,2002,2002,4,0,3,Re-Export,882,Samoa,WSM,16,American Samoa,ASM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,108,,,,108,,2949,,,4
H1,2002,2002,2002,4,0,1,Import,882,Samoa,WSM,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6469,,,,6469,,20675,,,4
H1,2002,2002,2002,4,0,2,Export,882,Samoa,WSM,184,Cook Isds,COK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,4460,,,4
