Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,678,Sao Tome and Principe,STP,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2154810,,,,2154810,,1215702,,,2
H1,2000,2000,2000,4,0,1,Import,678,Sao Tome and Principe,STP,266,Gabon,GAB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,18,,368,,,2
H1,2000,2000,2000,4,0,1,Import,678,Sao Tome and Principe,STP,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2151237,,,,2151237,,1201493,,,2
H1,2000,2000,2000,4,0,1,Import,678,Sao Tome and Principe,STP,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2835,,,,2835,,12977,,,2
H1,2000,2000,2000,4,0,1,Import,678,Sao Tome and Principe,STP,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,720,,,,720,,865,,,2
H1,2001,2001,2001,4,0,1,Import,678,Sao Tome and Principe,STP,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2468354,,,,2468354,,1151032,,,2
H1,2001,2001,2001,4,0,1,Import,678,Sao Tome and Principe,STP,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,355,,,,355,,3302,,,2
H1,2001,2001,2001,4,0,1,Import,678,Sao Tome and Principe,STP,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2434163,,,,2434163,,1137799,,,2
H1,2001,2001,2001,4,0,1,Import,678,Sao Tome and Principe,STP,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,32992,,,,32992,,9479,,,2
H1,2001,2001,2001,4,0,1,Import,678,Sao Tome and Principe,STP,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,844,,,,844,,451,,,2
H1,2002,2002,2002,4,0,1,Import,678,Sao Tome and Principe,STP,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3164871,,,,3164871,,1522246,,,2
H1,2002,2002,2002,4,0,2,Export,678,Sao Tome and Principe,STP,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,200,,,,200,,3190,,,2
H1,2002,2002,2002,4,0,1,Import,678,Sao Tome and Principe,STP,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16380,,,,16380,,7600,,,2
H1,2002,2002,2002,4,0,2,Export,678,Sao Tome and Principe,STP,266,Gabon,GAB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,200,,,,200,,3190,,,2
H1,2002,2002,2002,4,0,1,Import,678,Sao Tome and Principe,STP,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3148491,,,,3148491,,1514646,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3728180,,,,3728180,,2329967,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,44,Bahamas,BHS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12000,,,,12000,,7551,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5067,,,,5067,,9535,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5098,,,,5098,,9102,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13248,,,,13248,,8588,,,2
H1,2003,2003,2003,4,0,1,Import,678,Sao Tome and Principe,STP,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3670819,,,,3670819,,2274802,,,2
