Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9118192,,,,9118192,,6163907,,,6
H2,2003,2003,2003,4,0,2,Export,686,Senegal,SEN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,95986,,,,95986,,247833,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1283,,,,1283,,3076,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19200,,,,19200,,8315,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7593,,,,7593,,10668,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,132,Cabo Verde,CPV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,70,,,,70,,145,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20,,,,20,,62,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,73,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,771688,,,,771688,,1918774,,,6
H2,2003,2003,2003,4,0,2,Export,686,Senegal,SEN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,382,,,,382,,7878,,,6
H2,2003,2003,2003,4,0,2,Export,686,Senegal,SEN,270,Gambia,GMB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34019,,,,34019,,13263,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36006,,,,36006,,32564,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,45,,,,45,,60,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,153,,,,153,,898,,,6
H2,2003,2003,2003,4,0,1,Import,686,Senegal,SEN,434,Libya,LBY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9008,,,,9008,,5099,,,6
H2,2003,2003,2003,4,0,2,Export,686,Senegal,SEN,466,Mali,MLI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,232,,,,232,,1810,,,6
