Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,891,Serbia and Montenegro,SCG,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10335529,,,,10335529,,4848000,,,6
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4211000,,,,4211000,,3476000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10000,,,,10000,,10000,,,2
H1,2000,2000,2000,4,0,1,Import,891,Serbia and Montenegro,SCG,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1000,,,,1000,,3000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,11000,,,,11000,,20000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27000,,,,27000,,33000,,,2
H1,2000,2000,2000,4,0,1,Import,891,Serbia and Montenegro,SCG,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5000,,,,5000,,11000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3238000,,,,3238000,,2505000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,61000,,,,61000,,8000,,,2
H1,2000,2000,2000,4,0,2,Export,891,Serbia and Montenegro,SCG,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62000,,,,62000,,85000,,,2
