Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1098916,,,,,,2762239,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13933,,,,,,35677,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13933,,,,,,35677,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,64269,,,,,,139568,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31,,,,,,55,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31,,,,,,55,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,601,,,,,,1083,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,601,,,,,,1083,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17,,,,,,62,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1384,,,,,,3993,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,231817,,,,,,622057,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8312,,,,,,24391,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8312,,,,,,24391,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26,,,,,,94,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,256,,,,,,271,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,256,,,,,,271,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28453,,,,,,98282,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,201877,,,,,,494857,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,133,,,,,,344,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,133,,,,,,344,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,125111,,,,,,291390,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52,,,,,,133,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52,,,,,,133,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107,,,,,,117,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,78,,,,,,200,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,78,,,,,,200,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101,,,,,,361,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,523,,,,,,479,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,302,,,,,,265,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,302,,,,,,265,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,556,,,,,,1439,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1594,,,,,,5700,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,377312,,,,,,938589,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3009,,,,,,6210,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3009,,,,,,6210,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4333,,,,,,11220,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,,,86,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10992,,,,,,30430,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42530,,,,,,103045,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53,,,,,,138,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2926,,,,,,7615,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,148,,,,,,130,,,2
H2,2002,2002,2002,4,0,3,Re-Export,690,Seychelles,SYC,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,148,,,,,,130,,,2
H2,2002,2002,2002,4,0,1,Import,690,Seychelles,SYC,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4912,,,,,,12717,,,2
H2,2002,2002,2002,4,0,2,Export,690,Seychelles,SYC,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1010,,,,,,2595,,,2
