Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,43451,,,,43451,,34608,,,2
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,3500,,,,3500,,5702,,,2
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,17411,,,,17411,,13542,,,2
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,288,Ghana,GHA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,800,,,,800,,1045,,,2
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,20770,,,,20770,,8340,,,2
H0,2000,2000,2000,4,0,1,Import,694,Sierra Leone,SLE,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,970,,,,970,,5979,,,2
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,504756,,,,504756,,93138,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,4254,,,,4254,,785,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,17355,,,,17355,,12870,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,218,Ecuador,ECU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2000,,,,2000,,1232,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14375,,,,14375,,20985,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,3000,,,,3000,,2497,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,4187,,,,4187,,5462,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,440,Lithuania,LTU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,10243,,,,10243,,1890,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,492,"Europe EU, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,11437,,,,11437,,12617,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,101896,,,,101896,,29929,,,0
H0,2002,2002,2002,4,0,1,Import,694,Sierra Leone,SLE,804,Ukraine,UKR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,796,,,,796,,3459,,,0
