Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11336134,,,,11336134,,118161496,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3826368,,,,3826368,,71026474,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107382,,,,107382,,348561,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3244471,,,,3244471,,16200822,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,83237,,,,83237,,385942,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15109,,,,15109,,112393,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2673,,,,2673,,19504,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,81,,1237,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5175,,,,5175,,30580,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7243,,,,7243,,27008,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3609,,,,3609,,23956,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,96,Brunei Darussalam,BRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11,,,,11,,129,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,96,Brunei Darussalam,BRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22366,,,,22366,,48550,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4140,,,,4140,,7015,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,104,Myanmar,MMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55341,,,,55341,,268768,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,116,Cambodia,KHM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30493,,,,30493,,229513,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15515,,,,15515,,557489,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2849,,,,2849,,15520,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3873,,,,3873,,118206,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,393463,,,,393463,,1554201,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8478,,,,8478,,21915,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57082,,,,57082,,416827,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,24,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5243,,,,5243,,17312,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4962340,,,,4962340,,84484396,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7452,,,,7452,,112034,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,246992,,,,246992,,965410,,,4
H2,2002,2002,2002,4,0,2,Export,702,Singapore,SGP,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10053,,,,10053,,72956,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9057,,,,9057,,20039,,,4
H2,2002,2002,2002,4,0,1,Import,702,Singapore,SGP,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,230,,,,230,,2187,,,4
