Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13446895,,,,14049644,,6802104,,,0
H2,2002,2002,2002,4,0,2,Export,703,Slovakia,SVK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11091605,,,,11081451,,7040813,,,0
H2,2002,2002,2002,4,0,4,Re-Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39303,,,,41327,,43582,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7950,,,,10058,,20450,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34467,,,,35137,,50882,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1218881,,,,1215905,,189534,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,40,,,0
H2,2002,2002,2002,4,0,2,Export,703,Slovakia,SVK,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,79,,,,80,,250,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100919,,,,141733,,83553,,,0
H2,2002,2002,2002,4,0,2,Export,703,Slovakia,SVK,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2250,,,,3800,,5292,,,0
H2,2002,2002,2002,4,0,2,Export,703,Slovakia,SVK,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15,,,,15,,16,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29828,,,,32674,,91962,,,0
H2,2002,2002,2002,4,0,2,Export,703,Slovakia,SVK,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46,,,,46,,123,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1149,,,,1632,,2543,,,0
H2,2002,2002,2002,4,0,1,Import,703,Slovakia,SVK,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1296734,,,,1793016,,1616889,,,0
