Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33592309,,,,33592309,,7626358,,,6
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,210449677,,,,210449677,,285982558,,,4
H2,2002,2002,2002,4,0,4,Re-Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,266379,,,,266379,,405309,,,4
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65,,,,65,,191,,,4
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,10,Antarctica,ATA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,393,,,,393,,666,,,4
H2,2002,2002,2002,4,0,1,Import,710,South Africa,ZAF,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,59,,,4
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,206,,,4
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,214775,,,,214775,,500481,,,4
H2,2002,2002,2002,4,0,2,Export,710,South Africa,ZAF,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15657,,,,15657,,37152,,,4
H2,2002,2002,2002,4,0,1,Import,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31304257,,,,31304257,,2639858,,,6
