Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11522463,,,,11522463,,29432034,,,6
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17451,,,,17451,,51373,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8145,,,,8145,,21873,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,555895,,,,555895,,1432026,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,186,,,,186,,1704,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1477,,,,1477,,18982,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9234,,,,9234,,35987,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41258,,,,41258,,41716,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1844,,,,1844,,31973,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,728,,,,728,,2173,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,321627,,,,321627,,1204834,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52686,,,,52686,,35870,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,450,,2864,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3606,,,,3606,,13507,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,976,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4379102,,,,4379102,,16327553,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3961,,,,3961,,8491,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,769873,,,,769873,,1416732,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14,,,,14,,165,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,309,,,,309,,3211,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,499,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6124,,,,6124,,71914,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,26,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,768331,,,,768331,,2256851,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2984,,,,2984,,7694,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2811,,,,2811,,16518,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25,,,,25,,131,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,458,,,,458,,1062,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,470,Malta,MLT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14,,,,14,,177,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,496,Mongolia,MNG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6794,,,,6794,,9900,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25725,,,,25725,,56499,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,1355,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,211,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,608,Philippines,PHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53,,,,53,,33,,,6
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,608,Philippines,PHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,945,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23536,,,,23536,,76765,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,642,Romania,ROU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42725,,,,42725,,59194,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23,,,,23,,14,,,6
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11520,,,,11520,,71954,,,2
H2,2002,2002,2002,4,0,2,Export,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,900,,2008,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4322,,,,4322,,17713,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,62,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,705,Slovenia,SVN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,510,,,,510,,1298,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,35152,,,,35152,,61616,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2918075,,,,2918075,,1780797,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,80,,,2
H2,2002,2002,2002,4,0,1,Import,410,Rep. of Korea,KOR,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,342,,,,342,,5654,,,2
