Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20489605,,,,21068165,,68682999,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,,,1291825824,,,6
H2,2002,2002,2002,4,0,3,Re-Export,724,Spain,ESP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,34147683,,,0
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,163,,,,163,,673,,,0
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,3997060,,1672503,,,4
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4664,,,,4664,,16541,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,8211967,,,6
H2,2002,2002,2002,4,0,3,Re-Export,724,Spain,ESP,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,45036,,,0
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,14701768,,6307126,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11282,,,,11942,,22498,,,6
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,308643,,,,309404,,879217,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,111814,,,6
H2,2002,2002,2002,4,0,3,Re-Export,724,Spain,ESP,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,53767,,,0
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,45098,,,,45213,,328850,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,1480219,,,6
H2,2002,2002,2002,4,0,3,Re-Export,724,Spain,ESP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,436196,,,0
H2,2002,2002,2002,4,0,1,Import,724,Spain,ESP,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7533,,,,7533,,39607,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,3373937,,10224814,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,,,35308,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2593,,,,2593,,9716,,,6
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1890,,,,1890,,7036,,,0
H2,2002,2002,2002,4,0,2,Export,724,Spain,ESP,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,146506,,,6
