Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,374829,,,,374829,,1545558,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13905,,,,,,55172,,,2
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,92186,,,,92186,,315557,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,109,,,,,,96,,,2
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9039,,,,9039,,21842,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,44,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36,,,,36,,190,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,132159,,,,132159,,738950,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2365,,,,2365,,10367,,,6
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,945,,,,945,,8529,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94,,,,94,,435,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36914,,,,36914,,94755,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3530,,,,3530,,15878,,,4
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,928,,,,928,,4063,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,462,Maldives,MDV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1043,,,,,,991,,,2
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,900,,3123,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2880,,,,2880,,11875,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,260,,,,260,,1336,,,6
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,760,,,,760,,10110,,,4
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2559,,,,2559,,10780,,,6
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,795,,,,795,,3428,,,4
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53538,,,,53538,,241853,,,4
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6807,,,,6807,,28441,,,6
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40878,,,,40878,,78087,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,321853,,,,321853,,1721708,,,6
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24428,,,,24428,,91317,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,84871,,,,84871,,288556,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9909,,,,9909,,27354,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,126187,,,,126187,,946750,,,4
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2630,,,,2630,,11315,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1145,,,,1145,,4788,,,6
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1223,,,,1223,,5699,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,292,Gibraltar,GIB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,774,,,,774,,7292,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,163,,,,163,,898,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10311,,,,10311,,23698,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,44,,,6
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1304,,,,1304,,5424,,,4
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,462,Maldives,MDV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3649,,,,3649,,16204,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8006,,,,8006,,42340,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2115,,,,2115,,7621,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7398,,,,7398,,20254,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,43,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6697,,,,6697,,26441,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8661,,,,8661,,39316,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4233,,,,4233,,20834,,,6
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2208,,,,2208,,10069,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7933,,,,7933,,30339,,,6
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3825,,,,3825,,2831,,,4
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41519,,,,41519,,225280,,,4
H2,2003,2003,2003,4,0,2,Export,144,Sri Lanka,LKA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9590,,,,9590,,39775,,,6
H2,2003,2003,2003,4,0,1,Import,144,Sri Lanka,LKA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1917,,,,1917,,9860,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,316261,,,,316261,,1785811,,,6
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24441,,,,24441,,103754,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81868,,,,81868,,342315,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11664,,,,11664,,33874,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,138847,,,,138847,,1084963,,,6
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3317,,,,3317,,14217,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,2,,,4
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2627,,,,2627,,10896,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16412,,,,16412,,56046,,,4
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1454,,,,1454,,6040,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31,,,,31,,146,,,6
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,462,Maldives,MDV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3231,,,,3231,,13414,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,42,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,64,,,4
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1349,,,,1349,,6239,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,3043,,,6
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7890,,,,7890,,27231,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5449,,,,5449,,30422,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2327,,,,2327,,8546,,,4
H2,2004,2004,2004,4,0,2,Export,144,Sri Lanka,LKA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2672,,,,2672,,11226,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1364,,,,1364,,4805,,,4
H2,2004,2004,2004,4,0,1,Import,144,Sri Lanka,LKA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31605,,,,31605,,167100,,,6
