Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,5740,,,0
H3,2007,2007,2007,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,98630,,,0
H3,2007,2007,2007,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,5740,,,0
H3,2007,2007,2007,4,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,98630,,,0
H3,2008,2008,2008,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,10739,,,0
H3,2008,2008,2008,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,103021,,137404,,,4
H3,2008,2008,2008,4,0,3,Re-Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,2357,,3988,,,4
H3,2008,2008,2008,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,8267,,,0
H3,2008,2008,2008,4,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,103021,,137404,,,4
H3,2008,2008,2008,4,0,3,Re-Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,2357,,3988,,,4
H3,2008,2008,2008,4,0,1,Import,275,State of Palestine,PSE,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,657,,2471,,,4
H3,2009,2009,2009,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,5626,,,,5868,,7717,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,13935,,,,14246,,23298,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3948,,,,4036,,6600,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1974,,,,2018,,3300,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,304,Greenland,GRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2153,,,,2201,,3600,,,6
H3,2009,2009,2009,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,5626,,,,5868,,7717,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3062,,,,3131,,5120,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2164,,,,2212,,3618,,,6
H3,2009,2009,2009,4,0,2,Export,275,State of Palestine,PSE,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,634,,,,648,,1060,,,6
H3,2010,2010,2010,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,7490,,15795,,,4
H3,2010,2010,2010,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,7490,,15795,,,4
H3,2011,2011,2011,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,66028,,117626,,,4
H3,2011,2011,2011,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,49556,,116038,,,4
H3,2011,2011,2011,4,0,3,Re-Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,24618,,30221,,,4
H3,2011,2011,2011,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,47078,,53068,,,4
H3,2011,2011,2011,4,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,32332,,39690,,,4
H3,2011,2011,2011,4,0,3,Re-Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,24618,,30221,,,4
H3,2011,2011,2011,4,0,1,Import,275,State of Palestine,PSE,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,6560,,7394,,,4
H3,2011,2011,2011,4,0,2,Export,275,State of Palestine,PSE,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,1392,,1709,,,4
H3,2011,2011,2011,4,0,1,Import,275,State of Palestine,PSE,400,Jordan,JOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,12390,,57163,,,4
H3,2011,2011,2011,4,0,2,Export,275,State of Palestine,PSE,400,Jordan,JOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,15832,,74640,,,4
H3,2012,2012,2012,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,23731,,35381,,,4
H3,2012,2012,2012,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,325358,,393839,,,4
H3,2012,2012,2012,4,0,3,Re-Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,241,,260,,,4
H3,2012,2012,2012,4,0,1,Import,275,State of Palestine,PSE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,416,,2030,,,4
H3,2012,2012,2012,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,18875,,26263,,,4
H3,2012,2012,2012,4,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,325358,,393839,,,4
H3,2012,2012,2012,4,0,3,Re-Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,241,,260,,,4
H3,2012,2012,2012,4,0,1,Import,275,State of Palestine,PSE,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,4034,,5580,,,4
H3,2012,2012,2012,4,0,1,Import,275,State of Palestine,PSE,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,406,,1508,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,2179,,4855,,,4
H3,2013,2013,2013,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,378890,,,0
H3,2013,2013,2013,4,0,3,Re-Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,5088,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,2170,,4811,,,4
H3,2013,2013,2013,4,0,2,Export,275,State of Palestine,PSE,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,,,378890,,,0
