Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,50557,,,,50557,,111991,,,2
H0,2000,2000,2000,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,350,,,,350,,1551,,,2
H0,2000,2000,2000,4,0,3,Re-Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,300,,,,300,,1536,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,3670,,,,3670,,10527,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,65,,,,65,,152,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,895,,,,895,,7913,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,25291,,,,25291,,69581,,,2
H0,2000,2000,2000,4,0,2,Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,350,,,,350,,1551,,,2
H0,2000,2000,2000,4,0,3,Re-Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,300,,,,300,,1536,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,800,,,,800,,7853,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,15586,,,,15586,,7761,,,2
H0,2000,2000,2000,4,0,1,Import,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,4250,,,,4250,,8204,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,47450,,,,47450,,50935,,,2
H0,2001,2001,2001,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,200,,,,200,,202,,,2
H0,2001,2001,2001,4,0,3,Re-Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,200,,,,200,,202,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,12747,,,,12747,,24851,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,621,,,,621,,419,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,6830,,,,6830,,3185,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,24280,,,,24280,,16094,,,2
H0,2001,2001,2001,4,0,2,Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,120,,,,120,,95,,,2
H0,2001,2001,2001,4,0,3,Re-Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,120,,,,120,,95,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,503,,,,503,,320,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,792,Turkey,TUR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1612,,,,1612,,4646,,,2
H0,2001,2001,2001,4,0,1,Import,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,857,,,,857,,1420,,,2
H0,2001,2001,2001,4,0,2,Export,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,80,,,,80,,107,,,2
H0,2001,2001,2001,4,0,3,Re-Export,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,80,,,,80,,107,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,32696,,,,32696,,35484,,,2
H0,2002,2002,2002,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2746,,,,2746,,6328,,,2
H0,2002,2002,2002,4,0,3,Re-Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2746,,,,2746,,6328,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,174,,,,174,,2754,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,7763,,,,7763,,12482,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1986,,,,1986,,2833,,,2
H0,2002,2002,2002,4,0,2,Export,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1088,,,,1088,,2342,,,2
H0,2002,2002,2002,4,0,3,Re-Export,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1088,,,,1088,,2342,,,2
H0,2002,2002,2002,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1658,,,,1658,,3986,,,2
H0,2002,2002,2002,4,0,3,Re-Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1658,,,,1658,,3986,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,21973,,,,21973,,16365,,,2
H0,2002,2002,2002,4,0,1,Import,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,800,,,,800,,1050,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,31301,,,,31301,,51275,,,2
H0,2003,2003,2003,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2623,,,,2623,,10540,,,2
H0,2003,2003,2003,4,0,3,Re-Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2619,,,,2619,,10476,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,544,,,,544,,7017,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,17290,,,,17290,,20752,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1,,,,1,,1,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,16,,,,16,,700,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,844,,,,844,,1705,,,2
H0,2003,2003,2003,4,0,2,Export,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,819,,,,819,,6879,,,2
H0,2003,2003,2003,4,0,3,Re-Export,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,819,,,,819,,6879,,,2
H0,2003,2003,2003,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1800,,,,1800,,3597,,,2
H0,2003,2003,2003,4,0,3,Re-Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1800,,,,1800,,3597,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,8778,,,,8778,,13014,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1196,,,,1196,,3670,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,20,,,,20,,95,,,2
H0,2003,2003,2003,4,0,1,Import,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2612,,,,2612,,4321,,,2
H0,2003,2003,2003,4,0,2,Export,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,4,,,,4,,64,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,74399,,,,74399,,78861,,,2
H0,2004,2004,2004,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,77319,,,,77319,,66539,,,2
H0,2004,2004,2004,4,0,3,Re-Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,77317,,,,77317,,66529,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,28810,,,,28810,,15296,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,30700,,,,30700,,41923,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,377,,,,377,,375,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,151,,,,151,,1042,,,2
H0,2004,2004,2004,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,75211,,,,75211,,54431,,,2
H0,2004,2004,2004,4,0,3,Re-Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,75209,,,,75209,,54421,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,5327,,,,5327,,10977,,,2
H0,2004,2004,2004,4,0,2,Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2108,,,,2108,,12108,,,2
H0,2004,2004,2004,4,0,3,Re-Export,740,Suriname,SUR,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2108,,,,2108,,12108,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1484,,,,1484,,3253,,,2
H0,2004,2004,2004,4,0,1,Import,740,Suriname,SUR,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,7550,,,,7550,,5995,,,2
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,966179,,,,966179,,1093693,,,2
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,159,,,,159,,361,,,2
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,77648,,,,77648,,70371,,,2
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,200142,,,,200142,,119387,,,2
