Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,179057648,,,,141644484,,590432400,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2814399,,,,2458391,,13271651,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,191,,,,191,,2818,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,59,,,,59,,1483,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3010057,,,,3011046,,9162052,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9,,,,9,,148,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,8634999,,,,8639155,,41091230,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,24,,,,24,,297,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,296387,,,,140806,,1942310,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,63,,,,63,,445,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1407534,,,,1329860,,3239854,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,360,,,,360,,2076,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,20158,,,,20016,,79687,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,160,,,,160,,2225,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2044643,,,,2043742,,3850935,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4986,,,,4986,,16167,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,491,,,,1050,,31014,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,14,,,,14,,3263,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,66,,,,66,,593,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,10281627,,,,10288023,,33212922,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,48819,,,,49003,,77572,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4542,,,,5038,,13949,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9,,,,9,,148,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,80,,,,80,,1187,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,86,,,,86,,1335,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,52,,,,52,,445,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2932,,,,3964,,10833,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,18741,,,,18741,,144683,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,16516,,,,16516,,49094,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,15999181,,,,14199273,,38473437,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,841420,,,,668177,,3863179,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,810,,,,1108,,1484,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,180,,,,180,,1335,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,39533,,,,23193,,141715,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,51094,,,,43956,,540483,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,234,Faeroe Isds,FRO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,11621,,,,13094,,92108,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,735955,,,,695926,,1209993,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,248677,,,,147031,,788625,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,19094415,,,,12508054,,110952212,,,4
H3,2007,2007,2007,4,0,2,Export,752,Sweden,SWE,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,25131,,,,24390,,162560,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,7808,,,,8225,,35911,,,4
H3,2007,2007,2007,4,0,1,Import,752,Sweden,SWE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,21758965,,,,13374483,,44488825,,,4
