Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,184134953,,,,184134954,,632419296,,,0
H2,2002,2002,2002,4,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1630884,,,,1630884,,44650549,,,0
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,325663,,,,325663,,227903,,,0
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9000,,,,9000,,37184,,,0
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,978038,,,,978038,,3252489,,,0
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5578638,,,,5578638,,21482942,,,0
H2,2002,2002,2002,4,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,614,,,,614,,6227,,,0
H2,2002,2002,2002,4,0,1,Import,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,595870,,,,595870,,3570980,,,0
H2,2002,2002,2002,4,0,2,Export,757,Switzerland,CHE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41168,,,,41168,,816813,,,0
H2,2002,2002,2002,4,0,2,Export,757,Switzerland,CHE,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,210,,,,210,,1108,,,0
