Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2002,2002,2002,4,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,54000,,,,54000,,733988,,,2
H1,2002,2002,2002,4,0,1,Import,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,54000,,,,54000,,733988,,,2
H1,2003,2003,2003,4,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,105039,,,,105039,,1555204,,,2
H1,2003,2003,2003,4,0,2,Export,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,606500,,,,606500,,607840,,,2
H1,2003,2003,2003,4,0,2,Export,760,Syria,SYR,368,Iraq,IRQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,423000,,,,423000,,442929,,,2
H1,2003,2003,2003,4,0,2,Export,760,Syria,SYR,400,Jordan,JOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,183500,,,,183500,,164911,,,2
H1,2003,2003,2003,4,0,1,Import,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,102487,,,,102487,,1523973,,,2
H1,2003,2003,2003,4,0,1,Import,760,Syria,SYR,568,"Other Europe, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2552,,,,2552,,31230,,,2
H1,2004,2004,2004,4,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88000,,,,88000,,1680359,,,2
H1,2004,2004,2004,4,0,1,Import,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88000,,,,88000,,1680359,,,2
H3,2008,2008,2008,4,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,109561,,,,109561,,491858,,,2
H3,2008,2008,2008,4,0,1,Import,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,99271,,,,99271,,422829,,,2
H3,2008,2008,2008,4,0,1,Import,760,Syria,SYR,568,"Other Europe, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,10290,,,,10290,,69028,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,263540,,,,263540,,851505,,,2
H3,2009,2009,2009,4,0,2,Export,760,Syria,SYR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,6240,,,,6240,,20709,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,180,,,,180,,476,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,300,,,,300,,782,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,23120,,,,23120,,43802,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,182853,,,,182853,,588576,,,2
H3,2009,2009,2009,4,0,2,Export,760,Syria,SYR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,6240,,,,6240,,20709,,,2
H3,2009,2009,2009,4,0,1,Import,760,Syria,SYR,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1140,,,,1140,,3963,,,2
