Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,14000,,,0
H1,2000,2000,2000,4,0,2,Export,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,14000,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,169476,,,,169476,,660822,,,6
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,90,,,,90,,686,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1197,,,,1197,,9709,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9610,,,,9610,,23783,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,279,,,,279,,514,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,25002,,,,25002,,172132,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,82782,,,,82782,,313965,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,112,,,,112,,740,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2280,,,,2280,,20382,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9075,,,,9075,,15617,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,24348,,,,24348,,50245,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,3172,,,,3172,,19954,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9930,,,,9930,,24904,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,922,,,,922,,5540,,,0
H4,2017,2017,2017,4,0,1,Import,762,Tajikistan,TJK,860,Uzbekistan,UZB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,675,,,,675,,2651,,,6
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,195806,,,,195806,,734417,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1620,,,,1620,,10519,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9535,,,,9535,,19915,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1305,,,,1305,,4828,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,29621,,,,29621,,248661,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,54684,,,,54684,,211946,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,90,,,,90,,662,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1329,,,,1329,,6765,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,19499,,,,19499,,37468,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,49257,,,,49257,,124897,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,841,,,,841,,4788,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,18675,,,,18675,,41939,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1867,,,,1867,,6973,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,788,Tunisia,TUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,94,,,,94,,366,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,48,,,,48,,3129,,,2
H4,2018,2018,2018,4,0,1,Import,762,Tajikistan,TJK,860,Uzbekistan,UZB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,7338,,,,7338,,11561,,,2
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,181225,,,,181225,,1116808,,,0
H4,2019,2019,2019,4,0,2,Export,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,39,,,,39,,159,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9765,,,,9765,,28667,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,4182,,,,4182,,27738,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2081,,,,2081,,5814,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,585,,,,585,,2522,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,33891,,,,33891,,215995,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,43524,,,,43524,,347320,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,697,,,,697,,3007,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,11383,,,,11383,,79835,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,26610,,,,26610,,149166,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1111,,,,1111,,6319,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,91,,,,91,,1991,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,39225,,,,39225,,225956,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2074,,,,2074,,12521,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,90,,,,90,,493,,,0
H4,2019,2019,2019,4,0,1,Import,762,Tajikistan,TJK,860,Uzbekistan,UZB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5912,,,,5912,,9464,,,0
H4,2019,2019,2019,4,0,2,Export,762,Tajikistan,TJK,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,39,,,,39,,159,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,123267,,,,191253,,419996,,,2
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,369,,,,551,,2156,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,135,,,,134,,210,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,13405,,,,15396,,80850,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,42840,,,,69576,,158866,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,66,,,,66,,418,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,486,,,,631,,3379,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,19175,,,,23804,,27032,,,2
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,10668,,,,13415,,22716,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3186,,,,3516,,23027,,,0
H3,2016,2016,2016,4,0,1,Import,762,Tajikistan,TJK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,32937,,,,64164,,101342,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,152004,,,,152004,,615676,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,13,,,,13,,91,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1759,,,,1759,,11280,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,7693,,,,7693,,19484,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,688,,,,688,,2589,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,28313,,,,28313,,160828,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,58500,,,,58500,,271239,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,900,,,,900,,3588,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5138,,,,5138,,44646,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,25002,,,,25002,,53537,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,36,,,,36,,284,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,45,,,,45,,910,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,8244,,,,8244,,15667,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,688,,,,688,,5725,,,0
H4,2020,2020,2020,4,0,1,Import,762,Tajikistan,TJK,860,Uzbekistan,UZB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,14981,,,,14981,,25808,,,0
