Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2978224,,,,2978224,,10479941,,,4
H2,2003,2003,2003,4,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1098,,,,1098,,8520,,,4
H2,2003,2003,2003,4,0,3,Re-Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,182,,,,182,,320,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,447,,,,447,,2079,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6908,,,,6908,,46020,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,609,,,,609,,4388,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2135,,,,2135,,14794,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61,,,,61,,415,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10064,,,,10064,,23077,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,131760,,,,131760,,401130,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,364995,,,,364995,,1961911,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10522,,,,10522,,37339,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101941,,,,101941,,490224,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,388,Jamaica,JAM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2634,,,,2634,,6729,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,757,,,,757,,2021,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,99493,,,,99493,,248814,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27260,,,,27260,,98666,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,379,,,,379,,691,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16147,,,,16147,,70596,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2200856,,,,2200856,,7054527,,,4
H2,2003,2003,2003,4,0,2,Export,44,Bahamas,BHS,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1098,,,,1098,,8520,,,4
H2,2003,2003,2003,4,0,3,Re-Export,44,Bahamas,BHS,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,182,,,,182,,320,,,4
H2,2003,2003,2003,4,0,1,Import,44,Bahamas,BHS,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1257,,,,1257,,16520,,,4
H2,2004,2004,2004,4,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3438158,,,,3438158,,9968614,,,4
H2,2004,2004,2004,4,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1109,,,,1109,,2460,,,4
